Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
Braton Prime Barrel,Uncommon (23.33%)
Afuris Prime Barrel,Uncommon (23.33%)
,
Lith N14 Relic (Flawless),Lith N14 Relic (Flawless)
Nagantaka Prime Blueprint,Rare (6.00%)
Forma Blueprint,Uncommon (17.00%)
Paris Prime Upper Limb,Uncommon (17.00%)
Hystrix Prime Barrel,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (20.00%)
Afuris Prime Barrel,Uncommon (20.00%)
,
Lith N14 Relic (Radiant),Lith N14 Relic (Radiant)
Nagantaka Prime Blueprint,Uncommon (10.00%)
Forma Blueprint,Uncommon (20.00%)
Paris Prime Upper Limb,Uncommon (20.00%)
Hystrix Prime Barrel,Uncommon (16.67%)
Braton Prime Barrel,Uncommon (16.67%)
Afuris Prime Barrel,Uncommon (16.67%)
,
Lith N2 Relic (Intact),Lith N2 Relic (Intact)
Nekros Prime Systems Blueprint,Rare (2.00%)
Helios Prime Blueprint,Uncommon (11.00%)
Kavasa Prime Band,Uncommon (11.00%)
Paris Prime Upper Limb,Uncommon (25.33%)
Spira Prime Blueprint,Uncommon (25.33%)
Carrier Prime Systems,Uncommon (25.33%)
,
Lith N2 Relic (Exceptional),Lith N2 Relic (Exceptional)
Nekros Prime Systems Blueprint,Rare (4.00%)
Helios Prime Blueprint,Uncommon (13.00%)
Kavasa Prime Band,Uncommon (13.00%)
Paris Prime Upper Limb,Uncommon (23.33%)
Spira Prime Blueprint,Uncommon (23.33%)
Carrier Prime Systems,Uncommon (23.33%)
,
Lith N2 Relic (Flawless),Lith N2 Relic (Flawless)
Nekros Prime Systems Blueprint,Rare (6.00%)
Helios Prime Blueprint,Uncommon (17.00%)
Kavasa Prime Band,Uncommon (17.00%)
Paris Prime Upper Limb,Uncommon (20.00%)
Spira Prime Blueprint,Uncommon (20.00%)
Carrier Prime Systems,Uncommon (20.00%)
,
Lith N2 Relic (Radiant),Lith N2 Relic (Radiant)
Nekros Prime Systems Blueprint,Uncommon (10.00%)
Helios Prime Blueprint,Uncommon (20.00%)
Kavasa Prime Band,Uncommon (20.00%)
Paris Prime Upper Limb,Uncommon (16.67%)
Spira Prime Blueprint,Uncommon (16.67%)
Carrier Prime Systems,Uncommon (16.67%)
,
Lith N3 Relic (Intact),Lith N3 Relic (Intact)
Nekros Prime Blueprint,Rare (2.00%)
Braton Prime Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Sybaris Prime Stock,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
Valkyr Prime Blueprint,Uncommon (25.33%)
,
Lith N3 Relic (Exceptional),Lith N3 Relic (Exceptional)
Nekros Prime Blueprint,Rare (4.00%)
Braton Prime Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Sybaris Prime Stock,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
Valkyr Prime Blueprint,Uncommon (23.33%)
,
Lith N3 Relic (Flawless),Lith N3 Relic (Flawless)
Nekros Prime Blueprint,Rare (6.00%)
Braton Prime Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Sybaris Prime Stock,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
Valkyr Prime Blueprint,Uncommon (20.00%)
,
Lith N3 Relic (Radiant),Lith N3 Relic (Radiant)
Nekros Prime Blueprint,Uncommon (10.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Sybaris Prime Stock,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
Valkyr Prime Blueprint,Uncommon (16.67%)
,
Lith N4 Relic (Intact),Lith N4 Relic (Intact)
Ninkondi Prime Handle,Rare (2.00%)
Atlas Prime Systems Blueprint,Uncommon (11.00%)
Ivara Prime Blueprint,Uncommon (11.00%)
Bronco Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Gram Prime Blade,Uncommon (25.33%)
,
Lith N4 Relic (Exceptional),Lith N4 Relic (Exceptional)
Ninkondi Prime Handle,Rare (4.00%)
Atlas Prime Systems Blueprint,Uncommon (13.00%)
Ivara Prime Blueprint,Uncommon (13.00%)
Bronco Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Gram Prime Blade,Uncommon (23.33%)
,
Lith N4 Relic (Flawless),Lith N4 Relic (Flawless)
Ninkondi Prime Handle,Rare (6.00%)
Atlas Prime Systems Blueprint,Uncommon (17.00%)
Ivara Prime Blueprint,Uncommon (17.00%)
Bronco Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Gram Prime Blade,Uncommon (20.00%)
,
Lith N4 Relic (Radiant),Lith N4 Relic (Radiant)
Ninkondi Prime Handle,Uncommon (10.00%)
Atlas Prime Systems Blueprint,Uncommon (20.00%)
Ivara Prime Blueprint,Uncommon (20.00%)
Bronco Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Gram Prime Blade,Uncommon (16.67%)
,
Lith N5 Relic (Intact),Lith N5 Relic (Intact)
Ninkondi Prime Handle,Rare (2.00%)
Braton Prime Receiver,Uncommon (11.00%)
Ivara Prime Blueprint,Uncommon (11.00%)
Stradavar Prime Stock,Uncommon (25.33%)
Zhuge Prime String,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith N5 Relic (Exceptional),Lith N5 Relic (Exceptional)
Ninkondi Prime Handle,Rare (4.00%)
Braton Prime Receiver,Uncommon (13.00%)
Ivara Prime Blueprint,Uncommon (13.00%)
Stradavar Prime Stock,Uncommon (23.33%)
Zhuge Prime String,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith N5 Relic (Flawless),Lith N5 Relic (Flawless)
Ninkondi Prime Handle,Rare (6.00%)
Braton Prime Receiver,Uncommon (17.00%)
Ivara Prime Blueprint,Uncommon (17.00%)
Stradavar Prime Stock,Uncommon (20.00%)
Zhuge Prime String,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith N5 Relic (Radiant),Lith N5 Relic (Radiant)
Ninkondi Prime Handle,Uncommon (10.00%)
Braton Prime Receiver,Uncommon (20.00%)
Ivara Prime Blueprint,Uncommon (20.00%)
Stradavar Prime Stock,Uncommon (16.67%)
Zhuge Prime String,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith N6 Relic (Intact),Lith N6 Relic (Intact)
Nezha Prime Neuroptics Blueprint,Rare (2.00%)
Stradavar Prime Barrel,Uncommon (11.00%)
Inaros Prime Chassis Blueprint,Uncommon (11.00%)
Fang Prime Blade,Uncommon (25.33%)
Zhuge Prime Grip,Uncommon (25.33%)
Aksomati Prime Receiver,Uncommon (25.33%)
,
Lith N6 Relic (Exceptional),Lith N6 Relic (Exceptional)
Nezha Prime Neuroptics Blueprint,Rare (4.00%)
Stradavar Prime Barrel,Uncommon (13.00%)
Inaros Prime Chassis Blueprint,Uncommon (13.00%)
Fang Prime Blade,Uncommon (23.33%)
Zhuge Prime Grip,Uncommon (23.33%)
Aksomati Prime Receiver,Uncommon (23.33%)
,
Lith N6 Relic (Flawless),Lith N6 Relic (Flawless)
Nezha Prime Neuroptics Blueprint,Rare (6.00%)
Stradavar Prime Barrel,Uncommon (17.00%)
Inaros Prime Chassis Blueprint,Uncommon (17.00%)
Fang Prime Blade,Uncommon (20.00%)
Zhuge Prime Grip,Uncommon (20.00%)
Aksomati Prime Receiver,Uncommon (20.00%)
,
Lith N6 Relic (Radiant),Lith N6 Relic (Radiant)
Nezha Prime Neuroptics Blueprint,Uncommon (10.00%)
Stradavar Prime Barrel,Uncommon (20.00%)
Inaros Prime Chassis Blueprint,Uncommon (20.00%)
Fang Prime Blade,Uncommon (16.67%)
Zhuge Prime Grip,Uncommon (16.67%)
Aksomati Prime Receiver,Uncommon (16.67%)
,
Lith N7 Relic (Intact),Lith N7 Relic (Intact)
Nidus Prime Chassis Blueprint,Rare (2.00%)
Ivara Prime Blueprint,Uncommon (11.00%)
Pangolin Prime Blade,Uncommon (11.00%)
Octavia Prime Systems Blueprint,Uncommon (25.33%)
Braton Prime Blueprint,Uncommon (25.33%)
Lex Prime Barrel,Uncommon (25.33%)
,
Lith N7 Relic (Exceptional),Lith N7 Relic (Exceptional)
Nidus Prime Chassis Blueprint,Rare (4.00%)
Ivara Prime Blueprint,Uncommon (13.00%)
Pangolin Prime Blade,Uncommon (13.00%)
Octavia Prime Systems Blueprint,Uncommon (23.33%)
Braton Prime Blueprint,Uncommon (23.33%)
Lex Prime Barrel,Uncommon (23.33%)
,
Lith N7 Relic (Flawless),Lith N7 Relic (Flawless)
Nidus Prime Chassis Blueprint,Rare (6.00%)
Ivara Prime Blueprint,Uncommon (17.00%)
Pangolin Prime Blade,Uncommon (17.00%)
Octavia Prime Systems Blueprint,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Lex Prime Barrel,Uncommon (20.00%)
,
Lith N7 Relic (Radiant),Lith N7 Relic (Radiant)
Nidus Prime Chassis Blueprint,Uncommon (10.00%)
Ivara Prime Blueprint,Uncommon (20.00%)
Pangolin Prime Blade,Uncommon (20.00%)
Octavia Prime Systems Blueprint,Uncommon (16.67%)
Braton Prime Blueprint,Uncommon (16.67%)
Lex Prime Barrel,Uncommon (16.67%)
,
Lith N8 Relic (Intact),Lith N8 Relic (Intact)
Nezha Prime Neuroptics Blueprint,Rare (2.00%)
Zakti Prime Barrel,Uncommon (11.00%)
Titania Prime Neuroptics Blueprint,Uncommon (11.00%)
Aksomati Prime Blueprint,Uncommon (25.33%)
Astilla Prime Receiver,Uncommon (25.33%)
Pandero Prime Blueprint,Uncommon (25.33%)
,
Lith N8 Relic (Exceptional),Lith N8 Relic (Exceptional)
Nezha Prime Neuroptics Blueprint,Rare (4.00%)
Zakti Prime Barrel,Uncommon (13.00%)
Titania Prime Neuroptics Blueprint,Uncommon (13.00%)
Aksomati Prime Blueprint,Uncommon (23.33%)
Astilla Prime Receiver,Uncommon (23.33%)
Pandero Prime Blueprint,Uncommon (23.33%)
,
Lith N8 Relic (Flawless),Lith N8 Relic (Flawless)
Nezha Prime Neuroptics Blueprint,Rare (6.00%)
Zakti Prime Barrel,Uncommon (17.00%)
Titania Prime Neuroptics Blueprint,Uncommon (17.00%)
Aksomati Prime Blueprint,Uncommon (20.00%)
Astilla Prime Receiver,Uncommon (20.00%)
Pandero Prime Blueprint,Uncommon (20.00%)
,
Lith N8 Relic (Radiant),Lith N8 Relic (Radiant)
Nezha Prime Neuroptics Blueprint,Uncommon (10.00%)
Zakti Prime Barrel,Uncommon (20.00%)
Titania Prime Neuroptics Blueprint,Uncommon (20.00%)
Aksomati Prime Blueprint,Uncommon (16.67%)
Astilla Prime Receiver,Uncommon (16.67%)
Pandero Prime Blueprint,Uncommon (16.67%)
,
Lith N9 Relic (Intact),Lith N9 Relic (Intact)
Nami Skyla Prime Blade,Rare (2.00%)
Mesa Prime Blueprint,Uncommon (11.00%)
Akjagara Prime Receiver,Uncommon (11.00%)
Redeemer Prime Blade,Uncommon (25.33%)
Burston Prime Stock,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith N9 Relic (Exceptional),Lith N9 Relic (Exceptional)
Nami Skyla Prime Blade,Rare (4.00%)
Mesa Prime Blueprint,Uncommon (13.00%)
Akjagara Prime Receiver,Uncommon (13.00%)
Redeemer Prime Blade,Uncommon (23.33%)
Burston Prime Stock,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith N9 Relic (Flawless),Lith N9 Relic (Flawless)
Nami Skyla Prime Blade,Rare (6.00%)
Mesa Prime Blueprint,Uncommon (17.00%)
Akjagara Prime Receiver,Uncommon (17.00%)
Redeemer Prime Blade,Uncommon (20.00%)
Burston Prime Stock,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith N9 Relic (Radiant),Lith N9 Relic (Radiant)
Nami Skyla Prime Blade,Uncommon (10.00%)
Mesa Prime Blueprint,Uncommon (20.00%)
Akjagara Prime Receiver,Uncommon (20.00%)
Redeemer Prime Blade,Uncommon (16.67%)
Burston Prime Stock,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith O1 Relic (Intact),Lith O1 Relic (Intact)
Oberon Prime Neuroptics Blueprint,Rare (2.00%)
Akbolto Prime Barrel,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Rubico Prime Receiver,Uncommon (25.33%)
Burston Prime Blueprint,Uncommon (25.33%)
Ballistica Prime Lower Limb,Uncommon (25.33%)
,
Lith O1 Relic (Exceptional),Lith O1 Relic (Exceptional)
Oberon Prime Neuroptics Blueprint,Rare (4.00%)
Akbolto Prime Barrel,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Rubico Prime Receiver,Uncommon (23.33%)
Burston Prime Blueprint,Uncommon (23.33%)
Ballistica Prime Lower Limb,Uncommon (23.33%)
,
Lith O1 Relic (Flawless),Lith O1 Relic (Flawless)
Oberon Prime Neuroptics Blueprint,Rare (6.00%)
Akbolto Prime Barrel,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Rubico Prime Receiver,Uncommon (20.00%)
Burston Prime Blueprint,Uncommon (20.00%)
Ballistica Prime Lower Limb,Uncommon (20.00%)
,
Lith O1 Relic (Radiant),Lith O1 Relic (Radiant)
Oberon Prime Neuroptics Blueprint,Uncommon (10.00%)
Akbolto Prime Barrel,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Rubico Prime Receiver,Uncommon (16.67%)
Burston Prime Blueprint,Uncommon (16.67%)
Ballistica Prime Lower Limb,Uncommon (16.67%)
,
Lith O2 Relic (Intact),Lith O2 Relic (Intact)
Odonata Prime Wings Blueprint,Rare (2.00%)
Loki Prime Chassis Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Volt Prime Blueprint,Uncommon (25.33%)
Bo Prime Blueprint,Uncommon (25.33%)
Wyrm Prime Cerebrum,Uncommon (25.33%)
,
Lith O2 Relic (Exceptional),Lith O2 Relic (Exceptional)
Odonata Prime Wings Blueprint,Rare (4.00%)
Loki Prime Chassis Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Volt Prime Blueprint,Uncommon (23.33%)
Bo Prime Blueprint,Uncommon (23.33%)
Wyrm Prime Cerebrum,Uncommon (23.33%)
,
Lith O2 Relic (Flawless),Lith O2 Relic (Flawless)
Odonata Prime Wings Blueprint,Rare (6.00%)
Loki Prime Chassis Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Volt Prime Blueprint,Uncommon (20.00%)
Bo Prime Blueprint,Uncommon (20.00%)
Wyrm Prime Cerebrum,Uncommon (20.00%)
,
Lith O2 Relic (Radiant),Lith O2 Relic (Radiant)
Odonata Prime Wings Blueprint,Uncommon (10.00%)
Loki Prime Chassis Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Volt Prime Blueprint,Uncommon (16.67%)
Bo Prime Blueprint,Uncommon (16.67%)
Wyrm Prime Cerebrum,Uncommon (16.67%)
,
Lith O3 Relic (Intact),Lith O3 Relic (Intact)
Octavia Prime Blueprint,Rare (2.00%)
Nezha Prime Blueprint,Uncommon (11.00%)
Fang Prime Blueprint,Uncommon (11.00%)
Tenora Prime Blueprint,Uncommon (25.33%)
Guandao Prime Blade,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith O3 Relic (Exceptional),Lith O3 Relic (Exceptional)
Octavia Prime Blueprint,Rare (4.00%)
Nezha Prime Blueprint,Uncommon (13.00%)
Fang Prime Blueprint,Uncommon (13.00%)
Tenora Prime Blueprint,Uncommon (23.33%)
Guandao Prime Blade,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith O3 Relic (Flawless),Lith O3 Relic (Flawless)
Octavia Prime Blueprint,Rare (6.00%)
Nezha Prime Blueprint,Uncommon (17.00%)
Fang Prime Blueprint,Uncommon (17.00%)
Tenora Prime Blueprint,Uncommon (20.00%)
Guandao Prime Blade,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith O3 Relic (Radiant),Lith O3 Relic (Radiant)
Octavia Prime Blueprint,Uncommon (10.00%)
Nezha Prime Blueprint,Uncommon (20.00%)
Fang Prime Blueprint,Uncommon (20.00%)
Tenora Prime Blueprint,Uncommon (16.67%)
Guandao Prime Blade,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith P1 Relic (Intact),Lith P1 Relic (Intact)
Pyrana Prime Blueprint,Rare (2.00%)
Forma Blueprint,Uncommon (11.00%)
Braton Prime Receiver,Uncommon (11.00%)
Sybaris Prime Stock,Uncommon (25.33%)
Fang Prime Blade,Uncommon (25.33%)
Helios Prime Carapace,Uncommon (25.33%)
,
Lith P1 Relic (Exceptional),Lith P1 Relic (Exceptional)
Pyrana Prime Blueprint,Rare (4.00%)
Forma Blueprint,Uncommon (13.00%)
Braton Prime Receiver,Uncommon (13.00%)
Sybaris Prime Stock,Uncommon (23.33%)
Fang Prime Blade,Uncommon (23.33%)
Helios Prime Carapace,Uncommon (23.33%)
,
Lith P1 Relic (Flawless),Lith P1 Relic (Flawless)
Pyrana Prime Blueprint,Rare (6.00%)
Forma Blueprint,Uncommon (17.00%)
Braton Prime Receiver,Uncommon (17.00%)
Sybaris Prime Stock,Uncommon (20.00%)
Fang Prime Blade,Uncommon (20.00%)
Helios Prime Carapace,Uncommon (20.00%)
,
Lith P1 Relic (Radiant),Lith P1 Relic (Radiant)
Pyrana Prime Blueprint,Uncommon (10.00%)
Forma Blueprint,Uncommon (20.00%)
Braton Prime Receiver,Uncommon (20.00%)
Sybaris Prime Stock,Uncommon (16.67%)
Fang Prime Blade,Uncommon (16.67%)
Helios Prime Carapace,Uncommon (16.67%)
,
Lith P2 Relic (Intact),Lith P2 Relic (Intact)
Pyrana Prime Blueprint,Rare (2.00%)
Ballistica Prime Receiver,Uncommon (11.00%)
Gram Prime Blueprint,Uncommon (11.00%)
Burston Prime Blueprint,Uncommon (25.33%)
Tipedo Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith P2 Relic (Exceptional),Lith P2 Relic (Exceptional)
Pyrana Prime Blueprint,Rare (4.00%)
Ballistica Prime Receiver,Uncommon (13.00%)
Gram Prime Blueprint,Uncommon (13.00%)
Burston Prime Blueprint,Uncommon (23.33%)
Tipedo Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith P2 Relic (Flawless),Lith P2 Relic (Flawless)
Pyrana Prime Blueprint,Rare (6.00%)
Ballistica Prime Receiver,Uncommon (17.00%)
Gram Prime Blueprint,Uncommon (17.00%)
Burston Prime Blueprint,Uncommon (20.00%)
Tipedo Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith P2 Relic (Radiant),Lith P2 Relic (Radiant)
Pyrana Prime Blueprint,Uncommon (10.00%)
Ballistica Prime Receiver,Uncommon (20.00%)
Gram Prime Blueprint,Uncommon (20.00%)
Burston Prime Blueprint,Uncommon (16.67%)
Tipedo Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith P3 Relic (Intact),Lith P3 Relic (Intact)
Panthera Prime Barrel,Rare (2.00%)
Burston Prime Barrel,Uncommon (11.00%)
Akjagara Prime Link,Uncommon (11.00%)
Stradavar Prime Stock,Uncommon (25.33%)
Atlas Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith P3 Relic (Exceptional),Lith P3 Relic (Exceptional)
Panthera Prime Barrel,Rare (4.00%)
Burston Prime Barrel,Uncommon (13.00%)
Akjagara Prime Link,Uncommon (13.00%)
Stradavar Prime Stock,Uncommon (23.33%)
Atlas Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith P3 Relic (Flawless),Lith P3 Relic (Flawless)
Panthera Prime Barrel,Rare (6.00%)
Burston Prime Barrel,Uncommon (17.00%)
Akjagara Prime Link,Uncommon (17.00%)
Stradavar Prime Stock,Uncommon (20.00%)
Atlas Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith P3 Relic (Radiant),Lith P3 Relic (Radiant)
Panthera Prime Barrel,Uncommon (10.00%)
Burston Prime Barrel,Uncommon (20.00%)
Akjagara Prime Link,Uncommon (20.00%)
Stradavar Prime Stock,Uncommon (16.67%)
Atlas Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith P4 Relic (Intact),Lith P4 Relic (Intact)
Panthera Prime Barrel,Rare (2.00%)
Forma Blueprint,Uncommon (11.00%)
Equinox Prime Blueprint,Uncommon (11.00%)
Bronco Prime Blueprint,Uncommon (25.33%)
Titania Prime Chassis Blueprint,Uncommon (25.33%)
Braton Prime Barrel,Uncommon (25.33%)
,
Lith P4 Relic (Exceptional),Lith P4 Relic (Exceptional)
Panthera Prime Barrel,Rare (4.00%)
Forma Blueprint,Uncommon (13.00%)
Equinox Prime Blueprint,Uncommon (13.00%)
Bronco Prime Blueprint,Uncommon (23.33%)
Titania Prime Chassis Blueprint,Uncommon (23.33%)
Braton Prime Barrel,Uncommon (23.33%)
,
Lith P4 Relic (Flawless),Lith P4 Relic (Flawless)
Panthera Prime Barrel,Rare (6.00%)
Forma Blueprint,Uncommon (17.00%)
Equinox Prime Blueprint,Uncommon (17.00%)
Bronco Prime Blueprint,Uncommon (20.00%)
Titania Prime Chassis Blueprint,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (20.00%)
,
Lith P4 Relic (Radiant),Lith P4 Relic (Radiant)
Panthera Prime Barrel,Uncommon (10.00%)
Forma Blueprint,Uncommon (20.00%)
Equinox Prime Blueprint,Uncommon (20.00%)
Bronco Prime Blueprint,Uncommon (16.67%)
Titania Prime Chassis Blueprint,Uncommon (16.67%)
Braton Prime Barrel,Uncommon (16.67%)
,
Lith P5 Relic (Intact),Lith P5 Relic (Intact)
Pangolin Prime Blueprint,Rare (2.00%)
Guandao Prime Blueprint,Uncommon (11.00%)
Tekko Prime Blueprint,Uncommon (11.00%)
Atlas Prime Blueprint,Uncommon (25.33%)
Lex Prime Blueprint,Uncommon (25.33%)
Bronco Prime Receiver,Uncommon (25.33%)
,
Lith P5 Relic (Exceptional),Lith P5 Relic (Exceptional)
Pangolin Prime Blueprint,Rare (4.00%)
Guandao Prime Blueprint,Uncommon (13.00%)
Tekko Prime Blueprint,Uncommon (13.00%)
Atlas Prime Blueprint,Uncommon (23.33%)
Lex Prime Blueprint,Uncommon (23.33%)
Bronco Prime Receiver,Uncommon (23.33%)
,
Lith P5 Relic (Flawless),Lith P5 Relic (Flawless)
Pangolin Prime Blueprint,Rare (6.00%)
Guandao Prime Blueprint,Uncommon (17.00%)
Tekko Prime Blueprint,Uncommon (17.00%)
Atlas Prime Blueprint,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Bronco Prime Receiver,Uncommon (20.00%)
,
Lith P5 Relic (Radiant),Lith P5 Relic (Radiant)
Pangolin Prime Blueprint,Uncommon (10.00%)
Guandao Prime Blueprint,Uncommon (20.00%)
Tekko Prime Blueprint,Uncommon (20.00%)
Atlas Prime Blueprint,Uncommon (16.67%)
Lex Prime Blueprint,Uncommon (16.67%)
Bronco Prime Receiver,Uncommon (16.67%)
,
Lith P6 Relic (Intact),Lith P6 Relic (Intact)
Phantasma Prime Stock,Rare (2.00%)
Volnus Prime Head,Uncommon (11.00%)
Harrow Prime Blueprint,Uncommon (11.00%)
Burston Prime Receiver,Uncommon (25.33%)
Akbronco Prime Blueprint,Uncommon (25.33%)
Gara Prime Systems Blueprint,Uncommon (25.33%)
,
Lith P6 Relic (Exceptional),Lith P6 Relic (Exceptional)
Phantasma Prime Stock,Rare (4.00%)
Volnus Prime Head,Uncommon (13.00%)
Harrow Prime Blueprint,Uncommon (13.00%)
Burston Prime Receiver,Uncommon (23.33%)
Akbronco Prime Blueprint,Uncommon (23.33%)
Gara Prime Systems Blueprint,Uncommon (23.33%)
,
Lith P6 Relic (Flawless),Lith P6 Relic (Flawless)
Phantasma Prime Stock,Rare (6.00%)
Volnus Prime Head,Uncommon (17.00%)
Harrow Prime Blueprint,Uncommon (17.00%)
Burston Prime Receiver,Uncommon (20.00%)
Akbronco Prime Blueprint,Uncommon (20.00%)
Gara Prime Systems Blueprint,Uncommon (20.00%)
,
Lith P6 Relic (Radiant),Lith P6 Relic (Radiant)
Phantasma Prime Stock,Uncommon (10.00%)
Volnus Prime Head,Uncommon (20.00%)
Harrow Prime Blueprint,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (16.67%)
Akbronco Prime Blueprint,Uncommon (16.67%)
Gara Prime Systems Blueprint,Uncommon (16.67%)
,
Lith P7 Relic (Intact),Lith P7 Relic (Intact)
Pyrana Prime Blueprint,Rare (2.00%)
Destreza Prime Blueprint,Uncommon (11.00%)
Mesa Prime Blueprint,Uncommon (11.00%)
Akjagara Prime Blueprint,Uncommon (25.33%)
Lex Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith P7 Relic (Exceptional),Lith P7 Relic (Exceptional)
Pyrana Prime Blueprint,Rare (4.00%)
Destreza Prime Blueprint,Uncommon (13.00%)
Mesa Prime Blueprint,Uncommon (13.00%)
Akjagara Prime Blueprint,Uncommon (23.33%)
Lex Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith P7 Relic (Flawless),Lith P7 Relic (Flawless)
Pyrana Prime Blueprint,Rare (6.00%)
Destreza Prime Blueprint,Uncommon (17.00%)
Mesa Prime Blueprint,Uncommon (17.00%)
Akjagara Prime Blueprint,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith P7 Relic (Radiant),Lith P7 Relic (Radiant)
Pyrana Prime Blueprint,Uncommon (10.00%)
Destreza Prime Blueprint,Uncommon (20.00%)
Mesa Prime Blueprint,Uncommon (20.00%)
Akjagara Prime Blueprint,Uncommon (16.67%)
Lex Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith R1 Relic (Intact),Lith R1 Relic (Intact)
Redeemer Prime Handle,Rare (2.00%)
Ballistica Prime Receiver,Uncommon (11.00%)
Burston Prime Barrel,Uncommon (11.00%)
Mesa Prime Chassis Blueprint,Uncommon (25.33%)
Hydroid Prime Chassis Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith R1 Relic (Exceptional),Lith R1 Relic (Exceptional)
Redeemer Prime Handle,Rare (4.00%)
Ballistica Prime Receiver,Uncommon (13.00%)
Burston Prime Barrel,Uncommon (13.00%)
Mesa Prime Chassis Blueprint,Uncommon (23.33%)
Hydroid Prime Chassis Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith R1 Relic (Flawless),Lith R1 Relic (Flawless)
Redeemer Prime Handle,Rare (6.00%)
Ballistica Prime Receiver,Uncommon (17.00%)
Burston Prime Barrel,Uncommon (17.00%)
Mesa Prime Chassis Blueprint,Uncommon (20.00%)
Hydroid Prime Chassis Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith R1 Relic (Radiant),Lith R1 Relic (Radiant)
Redeemer Prime Handle,Uncommon (10.00%)
Ballistica Prime Receiver,Uncommon (20.00%)
Burston Prime Barrel,Uncommon (20.00%)
Mesa Prime Chassis Blueprint,Uncommon (16.67%)
