Target Acquired,Target Acquired,Target Acquired
Source,Mod Drop Chance,Chance
Deimos Jugulus Rex,100.00%,Uncommon (18.97%)
,,
Critical Focus,Critical Focus,Critical Focus
Source,Mod Drop Chance,Chance
Exo Butcher,5.00%,Ultra Rare (1.68%)
Exo Elite Lancer,5.00%,Ultra Rare (1.68%)
Exo Roller Sentry,5.00%,Ultra Rare (1.68%)
,,
Strafing Slide,Strafing Slide,Strafing Slide
Source,Mod Drop Chance,Chance
Brachiolyst Disperser,5.00%,Ultra Rare (1.67%)
Erra,25.00%,Ultra Rare (1.67%)
Brachiolyst,5.00%,Ultra Rare (1.67%)
Tyro Conculyst,25.00%,Ultra Rare (1.67%)
Symbilyst,25.00%,Ultra Rare (1.67%)
Battalyst,25.00%,Ultra Rare (1.67%)
Decaying Battalyst,25.00%,Ultra Rare (1.67%)
,,
Flechette,Flechette,Flechette
Source,Mod Drop Chance,Chance
Tusk Shield Lancer,3.00%,Uncommon (25.29%)
Kuva Shield Lancer,3.00%,Uncommon (25.29%)
Shield Lancer,3.00%,Uncommon (25.29%)
Brood Mother,3.00%,Uncommon (25.29%)
Ancient Disruptor,3.00%,Uncommon (25.29%)
Tar Mutalist Moa,3.00%,Uncommon (25.29%)
Deimos Therid,3.00%,Uncommon (25.29%)
Deimos Brood Mother,3.00%,Uncommon (25.29%)
Narmer Shield Lancer,3.00%,Uncommon (25.29%)
,,
Empowered Blades,Empowered Blades,Empowered Blades
Source,Mod Drop Chance,Chance
Feyarch Specter,100.00%,Rare (6.06%)
,,
System Reroute,System Reroute,System Reroute
Source,Mod Drop Chance,Chance
Tusk Shield Dargyn,12.50%,Rare (2.01%)
Tusk Dargyn,12.50%,Rare (2.01%)
Tusk Command Dargyn,12.50%,Rare (2.01%)
Uncommon Corpus Storage Container,5.00%,Rare (2.01%)
Ogma,25.00%,Ultra Rare (1.01%)
Kuva Dargyn,12.50%,Rare (2.01%)
Common Grineer Storage Container,5.00%,Rare (2.01%)
Common Grineer Storage Container,5.00%,Rare (2.01%)
Uncommon Grineer Storage Container,5.00%,Rare (2.01%)
Hellion Dargyn,12.50%,Rare (2.01%)
Orokin Storage Container,5.00%,Rare (2.01%)
Orokin Storage Container,5.00%,Rare (2.01%)
Rare Corpus Storage Container,7.50%,Rare (2.01%)
Rare Grineer Storage Container,7.50%,Rare (2.01%)
Rare Orokin Storage Container,5.00%,Rare (2.01%)
Reinforced Grineer Storage Container,10.00%,Rare (2.01%)
Reinforced Grineer Storage Container,10.00%,Rare (2.01%)
Reinforced Orokin Storage Container,5.00%,Rare (2.01%)
Gyre Gokstad Officer,5.00%,Ultra Rare (1.75%)
Gyre Gokstad Pilot,5.00%,Ultra Rare (1.75%)
Gyre Roller Sentry,5.00%,Ultra Rare (1.75%)
Nascent Membroid,5.00%,Rare (2.01%)
Mature Membroid,5.00%,Rare (2.01%)
Apex Membroid,5.00%,Rare (2.01%)
Juvenile Membroid,5.00%,Rare (2.01%)
,,
Arcane Rage,Arcane Rage,Arcane Rage
Source,Mod Drop Chance,Chance
Eidolon Hydrolyst (Special),100.00%,Uncommon (12.74%)
Eidolon Hydrolyst,100.00%,Uncommon (13.76%)
,,
Reach,Reach,Reach
Source,Mod Drop Chance,Chance
Vapos Crewman,3.00%,Uncommon (25.29%)
Taro Crewman,3.00%,Uncommon (25.29%)
Aurax Atloc Raknoid,10.00%,Common (37.94%)
Orm Crewman,3.00%,Uncommon (25.29%)
Axio Crewman,3.00%,Uncommon (25.29%)
Vorac Crewman,3.00%,Uncommon (25.29%)
Corrupted Power Carrier,3.00%,Uncommon (25.29%)
Orphid Husks,3.00%,Uncommon (25.29%)
Nightwatch Carrier,3.00%,Uncommon (25.29%)
Terra Jackal,20.00%,Common (37.94%)
Eidolon Vomvalyst,5.00%,Uncommon (25.29%)
Mutalist Osprey Carrier,3.00%,Uncommon (25.29%)
Corpus Power Carrier,3.00%,Uncommon (25.29%)
Kuva Hellion Carrier,3.00%,Uncommon (25.29%)
Kuva Power Carrier,3.00%,Uncommon (25.29%)
Hellion Power Carrier,3.00%,Uncommon (25.29%)
Hellion Power Carrier,25.00%,Uncommon (25.29%)
Grineer Power Carrier,3.00%,Uncommon (25.29%)
Volatile Runner,3.00%,Uncommon (25.29%)
Jackal,20.00%,Common (37.94%)
Raptor,100.00%,Common (37.94%)
Raptor,5.00%,Common (37.94%)
Raptor Mt,5.00%,Common (37.94%)
Raptor Rv,5.00%,Common (37.94%)
Raptor Ns,5.00%,Common (37.94%)
Crewman,3.00%,Uncommon (25.29%)
Deimos Mutalist Osprey Carrier,3.00%,Uncommon (25.29%)
Deimos Runner,3.00%,Uncommon (25.29%)
Narmer Mite,10.00%,Common (37.94%)
Narmer Power Carrier,3.00%,Uncommon (25.29%)
Narmer Crewman,3.00%,Uncommon (25.29%)
Narmer Raknoid,10.00%,Common (37.94%)
Coolant Raknoid,30.00%,Common (38.72%)
Scyto Raknoid,10.00%,Common (37.94%)
Mite Raknoid,10.00%,Common (37.94%)
Terra Ambulas,20.00%,Common (37.94%)
Terra Raptor Sx,20.00%,Common (37.94%)
Terra Elite Raptor Sx,20.00%,Common (37.94%)
Terra Embattor Moa,20.00%,Common (37.94%)
Terra Elite Embattor Moa,20.00%,Common (37.94%)
Terra Moa,10.00%,Common (37.94%)
Terra Moa,20.00%,Common (37.94%)
Terra Anti Moa,10.00%,Common (37.94%)
Terra Anti Moa,20.00%,Common (37.94%)
Terra Railgun Moa,10.00%,Common (37.94%)
Terra Railgun Moa,20.00%,Common (37.94%)
Terra Shockwave Moa,10.00%,Common (37.94%)
Terra Shockwave Moa,20.00%,Common (37.94%)
Kyta Raknoid,10.00%,Common (37.94%)
Narmer Scyto Raknoid,10.00%,Common (37.94%)
Profit-Taker,100.00%,Uncommon (14.10%)
,,
Necramech Blitz,Necramech Blitz,Necramech Blitz
Source,Mod Drop Chance,Chance
Nechramech (Tier 2),15.00%,Uncommon (25.29%)
,,
Arcane Deflection,Arcane Deflection,Arcane Deflection
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Rare (6.02%)
,,
Battle Stations,Battle Stations,Battle Stations
Source,Mod Drop Chance,Chance
Orm Gox,15.00%,Rare (5.56%)
Axio Gox,15.00%,Rare (3.46%)
Vorac Gox,15.00%,Rare (3.16%)
Elite Exo Outrider,15.00%,Rare (6.35%)
Exo Outrider,15.00%,Rare (6.35%)
Elite Kosma Outrider,15.00%,Rare (3.16%)
Kosma Outrider,15.00%,Rare (3.16%)
Elite Gyre Outrider,15.00%,Rare (4.10%)
Gyre Outrider,15.00%,Rare (4.10%)
,,
Handspring,Handspring,Handspring
Source,Mod Drop Chance,Chance
Vapos Tech,3.00%,Rare (2.01%)
Vapos Tech Ranger,10.00%,Legendary (0.67%)
Vapos Elite Ranger,10.00%,Legendary (0.67%)
Vapos Nullifier Ranger,10.00%,Legendary (0.67%)
Vapos Detron Ranger,10.00%,Legendary (0.67%)
Vapos Sniper Ranger,10.00%,Legendary (0.67%)
Taro Ranger Crewman,10.00%,Legendary (0.67%)
Optio,3.00%,Rare (2.01%)
Orm Ranger Crewman,10.00%,Legendary (0.67%)
Axio Ranger Crewman,10.00%,Legendary (0.67%)
Vorac Ranger Crewman,10.00%,Legendary (0.67%)
Corpus Tech,3.00%,Rare (2.01%)
Jackal,100.00%,Ultra Rare (1.01%)
Corpus Warden,3.00%,Rare (2.01%)
Latrox Une,3.00%,Rare (2.01%)
Narmer Elite Ranger,10.00%,Legendary (0.67%)
Narmer Jailer,10.00%,Legendary (0.67%)
Narmer Nullifier Ranger,10.00%,Legendary (0.67%)
Narmer Detron Ranger,10.00%,Legendary (0.67%)
Narmer Sniper Ranger,10.00%,Legendary (0.67%)
Narmer Corpus Tech,3.00%,Rare (2.01%)
Narmer Tech Ranger,10.00%,Legendary (0.67%)
Narmer Crewman Warden,3.00%,Rare (2.01%)
Terra Manker,10.00%,Legendary (0.67%)
Terra Manker,20.00%,Legendary (0.67%)
Terra Elite Provisor,10.00%,Legendary (0.67%)
Terra Provisor,10.00%,Legendary (0.67%)
Terra Provisor,20.00%,Legendary (0.67%)
Terra Elite Overtaker,10.00%,Legendary (0.67%)
Terra Overtaker,10.00%,Legendary (0.67%)
Terra Overtaker,20.00%,Legendary (0.67%)
Terra Jailer,10.00%,Legendary (0.67%)
Terra Cestra Manker,10.00%,Legendary (0.67%)
Terra Elite Trencher,10.00%,Legendary (0.67%)
Terra Nullifier Crewman,10.00%,Legendary (0.67%)
Terra Trencher,10.00%,Legendary (0.67%)
Terra Trencher,20.00%,Legendary (0.67%)
,,
Static Discharge,Static Discharge,Static Discharge
Source,Mod Drop Chance,Chance
Ved Xol,10.00%,Uncommon (12.50%)
Nako Xol,10.00%,Uncommon (12.50%)
Pelna Cade,10.00%,Uncommon (12.50%)
Lockjaw & Sol,10.00%,Uncommon (12.50%)
Jad Teran,10.00%,Uncommon (12.50%)
Azoth,10.00%,Uncommon (12.50%)
Raptor Rx,10.00%,Uncommon (12.50%)
Auditor,10.00%,Uncommon (12.50%)
Jen Dro,10.00%,Uncommon (12.50%)
Derim Zahn,10.00%,Uncommon (12.50%)
M-W.A.M.,10.00%,Uncommon (12.50%)
Tia Mayn,10.00%,Uncommon (12.50%)
Armis Ulta,10.00%,Uncommon (12.50%)
Dru Pesfor,10.00%,Uncommon (12.50%)
Rana Del,10.00%,Uncommon (12.50%)
002-Er,10.00%,Uncommon (12.50%)
,,
Cleaving Whirlwind,Cleaving Whirlwind,Cleaving Whirlwind
Source,Mod Drop Chance,Chance
Ancient Disruptor,3.00%,Ultra Rare (1.01%)
Tar Mutalist Moa,3.00%,Ultra Rare (1.01%)
Deimos Therid,3.00%,Ultra Rare (1.01%)
,,
Pathogen Rounds,Pathogen Rounds,Pathogen Rounds
Source,Mod Drop Chance,Chance
Vapos Anti Moa,3.00%,Rare (7.52%)
Taro Disc Moa,3.00%,Rare (7.52%)
Orm Disc Moa,3.00%,Rare (7.52%)
Axio Disc Moa,3.00%,Rare (7.52%)
Vorac Disc Moa,3.00%,Rare (7.52%)
Zealot Proselytizer,20.00%,Uncommon (22.92%)
Zealot Herald,20.00%,Uncommon (22.92%)
Zealot Baptizer,20.00%,Uncommon (22.92%)
Kuva Larvling,20.00%,Uncommon (22.92%)
Saturn Six Fugitive,20.00%,Uncommon (22.92%)
Anti Moa,3.00%,Rare (7.52%)
Exploiter Orb,100.00%,Rare (4.51%)
,,
Necramech Fury,Necramech Fury,Necramech Fury
Source,Mod Drop Chance,Chance
Nechramech (Tier 3),10.00%,Very Common (75.88%)
,,
Vigilante Vigor,Vigilante Vigor,Vigilante Vigor
Source,Mod Drop Chance,Chance
Plains Commander,100.00%,Common (37.94%)
,,
Necramech Friction,Necramech Friction,Necramech Friction
Source,Mod Drop Chance,Chance
Nechramech (Tier 3),10.00%,Rare (7.37%)
,,
Steady Hands,Steady Hands,Steady Hands
Source,Mod Drop Chance,Chance
Corrupted Crewman,3.00%,Legendary (0.86%)
,,
Quickdraw,Quickdraw,Quickdraw
Source,Mod Drop Chance,Chance
Tusk Elite Lancer,3.00%,Uncommon (25.29%)
Dargyn Pilot,3.00%,Uncommon (25.29%)
Nauseous Void Shade,3.00%,Common (37.94%)
Void Shade,3.00%,Common (37.94%)
Alad V,100.00%,Uncommon (25.29%)
Captain Vor,100.00%,Uncommon (25.29%)
Elite Lancer,3.00%,Uncommon (25.29%)
Kuva Elite Lancer,3.00%,Uncommon (25.29%)
Draga,3.00%,Uncommon (25.29%)
Elite Arid Lancer,3.00%,Uncommon (25.29%)
Elite Frontier Lancer,3.00%,Uncommon (25.29%)
Mutalist Alad V,100.00%,Uncommon (25.29%)
Nauseous Crawler,3.00%,Common (37.94%)
Crawler,3.00%,Common (37.94%)
Darek Draga,3.00%,Uncommon (25.29%)
Shock Draga,3.00%,Uncommon (25.29%)
Narmer Elite Lancer,3.00%,Uncommon (25.29%)
,,
Necramech Streamline,Necramech Streamline,Necramech Streamline
Source,Mod Drop Chance,Chance
Nechramech (Tier 3),10.00%,Rare (2.01%)
,,
Necramech Slipstream,Necramech Slipstream,Necramech Slipstream
Source,Mod Drop Chance,Chance
Nechramech (Tier 2),15.00%,Uncommon (25.29%)
,,
Battle Forge,Battle Forge,Battle Forge
Source,Mod Drop Chance,Chance
Orm Gox,15.00%,Rare (5.56%)
Axio Gox,15.00%,Rare (3.46%)
Vorac Gox,15.00%,Rare (3.16%)
Elite Exo Outrider,15.00%,Rare (6.35%)
Exo Outrider,15.00%,Rare (6.35%)
Elite Kosma Outrider,15.00%,Rare (3.16%)
Kosma Outrider,15.00%,Rare (3.16%)
Elite Gyre Outrider,15.00%,Rare (4.10%)
Gyre Outrider,15.00%,Rare (4.10%)
,,
Necramech Reach,Necramech Reach,Necramech Reach
Source,Mod Drop Chance,Chance
Nechramech (Tier 2),15.00%,Uncommon (25.29%)
,,
Necramech Thrusters,Necramech Thrusters,Necramech Thrusters
Source,Mod Drop Chance,Chance
Nechramech (Tier 1),30.00%,Rare (2.01%)
,,
Sharpened Claws,Sharpened Claws,Sharpened Claws
Source,Mod Drop Chance,Chance
Kuva Hyekka,20.00%,Common (45.83%)
Hyekka,20.00%,Common (45.83%)
,,
Necramech Steel Fiber,Necramech Steel Fiber,Necramech Steel Fiber
Source,Mod Drop Chance,Chance
Nechramech (Tier 1),30.00%,Uncommon (11.06%)
,,
Magazine Extension,Magazine Extension,Magazine Extension
Source,Mod Drop Chance,Chance
Tusk Shield Dargyn,3.00%,Uncommon (25.29%)
Tusk Dargyn,3.00%,Uncommon (25.29%)
Attack Drone,3.00%,Uncommon (25.29%)
Zeplen,3.00%,Uncommon (25.81%)
Dargyn,3.00%,Uncommon (25.29%)
Exo Gokstad Officer,5.00%,Very Common (76.47%)
Gyre Gokstad Officer,5.00%,Very Common (79.82%)
Exo Butcher,5.00%,Very Common (76.47%)
Exo Elite Lancer,5.00%,Very Common (76.47%)
Gyre Eviscerator,5.00%,Uncommon (25.29%)
Gyre Supressor,5.00%,Uncommon (25.29%)
Exo Gokstad Pilot,5.00%,Very Common (76.47%)
Gyre Gokstad Pilot,5.00%,Very Common (79.82%)
Exo Roller Sentry,5.00%,Very Common (76.47%)
Gyre Roller Sentry,5.00%,Very Common (79.82%)
,,
Agile Aim,Agile Aim,Agile Aim
Source,Mod Drop Chance,Chance
Summulyst,15.00%,Uncommon (15.28%)
Ortholyst,15.00%,Uncommon (15.28%)
Conculyst,15.00%,Uncommon (15.28%)
Decaying Conculyst,15.00%,Uncommon (15.28%)
,,
Necramech Efficiency,Necramech Efficiency,Necramech Efficiency
Source,Mod Drop Chance,Chance
Nechramech (Tier 1),30.00%,Uncommon (11.06%)
,,
Arcane Avenger,Arcane Avenger,Arcane Avenger
Source,Mod Drop Chance,Chance
Eidolon Hydrolyst (Special),100.00%,Uncommon (11.24%)
Eidolon Hydrolyst,100.00%,Uncommon (11.70%)
,,
Pistol Pestilence,Pistol Pestilence,Pistol Pestilence
Source,Mod Drop Chance,Chance
Corrupted Vor,100.00%,Uncommon (25.00%)
,,
Ordnance Velocity,Ordnance Velocity,Ordnance Velocity
Source,Mod Drop Chance,Chance
Elite Exo Outrider,15.00%,Ultra Rare (1.35%)
Exo Outrider,15.00%,Ultra Rare (1.35%)
Elite Kosma Outrider,15.00%,Ultra Rare (1.01%)
Kosma Outrider,15.00%,Ultra Rare (1.01%)
Elite Gyre Outrider,15.00%,Legendary (0.87%)
Gyre Outrider,15.00%,Legendary (0.87%)
,,
Arcane Healing,Arcane Healing,Arcane Healing
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Rare (6.02%)
,,
Arcane Momentum,Arcane Momentum,Arcane Momentum
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Uncommon (12.05%)
Eidolon Teralyst,100.00%,Uncommon (14.95%)
,,
Shell Rush,Shell Rush,Shell Rush
Source,Mod Drop Chance,Chance
Exo Eviscerator,5.00%,Rare (5.53%)
Exo Supressor,5.00%,Rare (5.53%)
Kosma Eviscerator,5.00%,Rare (5.53%)
Kosma Supressor,5.00%,Rare (5.53%)
Kuva Lich Agor Rok (Level 80 - 100),3.00%,Common (45.83%)
,,
Reflex Coil,Reflex Coil,Reflex Coil
Source,Mod Drop Chance,Chance
The Sergeant,100.00%,Rare (7.52%)
The Sergeant,100.00%,Rare (7.52%)
Aurax Atloc Raknoid,10.00%,Rare (3.69%)
Aurax Baculus,3.00%,Rare (3.69%)
Tusk Butcher,3.00%,Rare (5.53%)
Terra Jackal,20.00%,Rare (3.69%)
Guardsman,3.00%,Rare (3.69%)
Kuva Drahk Master,3.00%,Rare (5.53%)
Kuva Butcher,3.00%,Rare (5.53%)
Ghoul Devourer,10.00%,Rare (3.69%)
Drahk Master,3.00%,Rare (5.53%)
Arid Butcher,3.00%,Rare (4.42%)
Frontier Butcher,3.00%,Rare (4.42%)
Frontier Bailiff,3.00%,Rare (5.53%)
Bailiff,3.00%,Rare (5.53%)
Butcher,3.00%,Rare (5.53%)
Grineer Manic,50.00%,Rare (7.37%)
Jackal,20.00%,Rare (3.69%)
Raptor,100.00%,Uncommon (11.06%)
Raptor,5.00%,Uncommon (11.06%)
Raptor Mt,5.00%,Uncommon (11.06%)
Raptor Rv,5.00%,Uncommon (11.06%)
Raptor Ns,5.00%,Uncommon (11.06%)
Drekar Butcher,3.00%,Uncommon (11.06%)
Drekar Manic,3.00%,Rare (5.53%)
Narmer Mite,10.00%,Rare (3.69%)
Narmer Butcher,3.00%,Rare (4.42%)
Narmer Raknoid,10.00%,Rare (3.69%)
Kuva Lich Agor Rok (Level 0 - 69),3.00%,Rare (7.37%)
Kuva Lich Agor Rok (Level 80 - 100),3.00%,Common (45.83%)
Coolant Raknoid,30.00%,Rare (3.22%)
Scyto Raknoid,10.00%,Rare (3.69%)
Mite Raknoid,10.00%,Rare (3.69%)
Terra Ambulas,20.00%,Rare (3.69%)
Terra Raptor Sx,20.00%,Rare (3.69%)
Terra Elite Raptor Sx,20.00%,Rare (3.69%)
Terra Embattor Moa,20.00%,Rare (3.69%)
Terra Elite Embattor Moa,20.00%,Rare (3.69%)
Terra Moa,10.00%,Rare (3.69%)
Terra Moa,20.00%,Rare (3.69%)
Terra Anti Moa,10.00%,Rare (3.69%)
Terra Anti Moa,20.00%,Rare (3.69%)
Terra Railgun Moa,10.00%,Rare (3.69%)
Terra Railgun Moa,20.00%,Rare (3.69%)
Terra Shockwave Moa,10.00%,Rare (3.69%)
Terra Shockwave Moa,20.00%,Rare (3.69%)
Kyta Raknoid,10.00%,Rare (3.69%)
Narmer Scyto Raknoid,10.00%,Rare (3.69%)
Profit-Taker,100.00%,Uncommon (10.26%)
,,
Bane Of Infested,Bane Of Infested,Bane Of Infested
Source,Mod Drop Chance,Chance
Demolisher Boiler,15.00%,Uncommon (25.00%)
Demolisher Thrasher,15.00%,Uncommon (25.00%)
Demolisher Juggernaut,15.00%,Uncommon (25.00%)
Demolisher Charger,15.00%,Uncommon (25.00%)
Kuva Powerclaw,3.00%,Rare (5.53%)
Powerfist,3.00%,Rare (5.53%)
J3 Jordas Golem,100.00%,Uncommon (11.06%)
Jordas Golem,100.00%,Uncommon (11.06%)
Narmer Powerfist,3.00%,Rare (5.53%)
,,
Stinging Thorn,Stinging Thorn,Stinging Thorn
Source,Mod Drop Chance,Chance
Tusk Thumper Bull,15.00%,Uncommon (12.50%)
Tusk Thumper,15.00%,Uncommon (12.50%)
Eidolon Vomvalyst,5.00%,Legendary (0.67%)
Narmer Thumper Bull,15.00%,Uncommon (12.50%)
Narmer Thumper,15.00%,Uncommon (12.50%)
,,
Arcane Nullifier,Arcane Nullifier,Arcane Nullifier
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Uncommon (12.05%)
Eidolon Teralyst,100.00%,Uncommon (14.95%)
,,
Vengeful Revenant,Vengeful Revenant,Vengeful Revenant
Source,Mod Drop Chance,Chance
Aerolyst,2.25%,Common (50.00%)
Summulyst,15.00%,Rare (2.78%)
Ortholyst,15.00%,Rare (2.78%)
Conculyst,15.00%,Rare (2.78%)
Decaying Conculyst,15.00%,Rare (2.78%)
Typholyst,2.25%,Common (50.00%)
,,
Heavy Impact,Heavy Impact,Heavy Impact
Source,Mod Drop Chance,Chance
Kuva Trokarian,3.00%,Rare (7.37%)
Kuva Scorpion,3.00%,Rare (7.37%)
Ghoul Expired,20.00%,Rare (7.37%)
Hunhow,100.00%,Uncommon (30.56%)
Lobber Crawler,3.00%,Uncommon (11.06%)
Toxic Crawler,3.00%,Uncommon (11.06%)
Scorpion,3.00%,Rare (7.37%)
Stalker,100.00%,Uncommon (30.56%)
Shadow Stalker,100.00%,Uncommon (30.56%)
Narmer Scorpion,3.00%,Rare (7.37%)
,,
Collision Force,Collision Force,Collision Force
Source,Mod Drop Chance,Chance
Eidolon Teralyst,100.00%,Rare (8.33%)
,,
Reflect,Reflect,Reflect
Source,Mod Drop Chance,Chance
Kuva Hyekka,20.00%,Rare (4.17%)
Hyekka,20.00%,Rare (4.17%)
,,
Shredder,Shredder,Shredder
Source,Mod Drop Chance,Chance
Vapos Tech Ranger,10.00%,Uncommon (25.29%)
Vapos Elite Ranger,10.00%,Uncommon (25.29%)
Vapos Nullifier Ranger,10.00%,Uncommon (25.29%)
Vapos Detron Ranger,10.00%,Uncommon (25.29%)
Vapos Sniper Ranger,10.00%,Uncommon (25.29%)
Vapos Detron Crewman,3.00%,Uncommon (25.81%)
Taro Ranger Crewman,10.00%,Uncommon (25.29%)
Taro Zerca,3.00%,Uncommon (25.81%)
Taro Vambac,3.00%,Uncommon (25.81%)
Taro Numon,3.00%,Uncommon (25.81%)
Taro Detron Crewman,3.00%,Uncommon (25.81%)
Aurax Actinic,3.00%,Uncommon (25.81%)
Aurax Vertec,3.00%,Uncommon (25.81%)
Orm Zerca,3.00%,Uncommon (25.81%)
Orm Vambac,3.00%,Uncommon (25.81%)
Orm Numon,3.00%,Uncommon (25.81%)
Orm Ranger Crewman,10.00%,Uncommon (25.29%)
Orm Detron Crewman,3.00%,Uncommon (25.81%)
Axio Zerca,3.00%,Uncommon (25.81%)
Axio Vambac,3.00%,Uncommon (25.81%)
Axio Numon,3.00%,Uncommon (25.81%)
Axio Ranger Crewman,10.00%,Uncommon (25.29%)
Axio Detron Crewman,3.00%,Uncommon (25.81%)
Vorac Zerca,3.00%,Uncommon (25.81%)
Vorac Vambac,3.00%,Uncommon (25.81%)
Vorac Numon,3.00%,Uncommon (25.81%)
Vorac Ranger Crewman,10.00%,Uncommon (25.29%)
Vorac Detron Crewman,3.00%,Uncommon (25.81%)
Arcane Boiler,3.00%,Uncommon (15.18%)
Boiler,3.00%,Uncommon (15.18%)
Toxic Ancient,3.00%,Uncommon (15.18%)
Detron Crewman,3.00%,Uncommon (25.81%)
Narmer Detron Crewman,3.00%,Uncommon (25.81%)
Narmer Elite Ranger,10.00%,Uncommon (25.29%)
Narmer Jailer,10.00%,Uncommon (25.29%)
Narmer Nullifier Ranger,10.00%,Uncommon (25.29%)
Narmer Detron Ranger,10.00%,Uncommon (25.29%)
Narmer Sniper Ranger,10.00%,Uncommon (25.29%)
Narmer Tech Ranger,10.00%,Uncommon (25.29%)
Narmer Crewman,3.00%,Uncommon (25.81%)
Terra Manker,10.00%,Uncommon (25.29%)
Terra Manker,20.00%,Uncommon (25.29%)
Terra Elite Provisor,10.00%,Uncommon (25.29%)
Terra Provisor,10.00%,Uncommon (25.29%)
Terra Provisor,20.00%,Uncommon (25.29%)
Terra Elite Overtaker,10.00%,Uncommon (25.29%)
Terra Overtaker,10.00%,Uncommon (25.29%)
Terra Overtaker,20.00%,Uncommon (25.29%)
Terra Jailer,10.00%,Uncommon (25.29%)
Terra Cestra Manker,10.00%,Uncommon (25.29%)
Terra Elite Trencher,10.00%,Uncommon (25.29%)
Terra Nullifier Crewman,10.00%,Uncommon (25.29%)
Terra Trencher,10.00%,Uncommon (25.29%)
Terra Trencher,20.00%,Uncommon (25.29%)
,,
15 Endo,15 Endo,15 Endo
Source,Mod Drop Chance,Chance
Executioner Zura,20.00%,Very Common (75.88%)
Executioner Garesh,20.00%,Very Common (75.88%)
Executioner Harkonar,20.00%,Very Common (75.88%)
Executioner Reth,20.00%,Very Common (75.88%)
Executioner Vay Molta,20.00%,Very Common (75.88%)
Executioner Dok Thul,20.00%,Very Common (75.88%)
Executioner Nok,20.00%,Very Common (75.88%)
Executioner Gorth,20.00%,Very Common (75.88%)
Vapos Tech,3.00%,Common (37.94%)
Vapos Sapping Osprey,3.00%,Uncommon (25.29%)
Vapos Elite Crewman,3.00%,Very Common (75.88%)
Vapos Moa,3.00%,Uncommon (25.29%)
Vapos Railgun Moa,3.00%,Common (38.72%)
Vapos Crewman,3.00%,Uncommon (25.29%)
Vapos Shield Osprey,3.00%,Very Common (75.88%)
Vapos Shockwave Moa,3.00%,Uncommon (25.29%)
Vapos Detron Crewman,3.00%,Uncommon (25.81%)
Vapos Oxium Osprey,3.00%,Uncommon (25.29%)
Vapos Fusion Moa,3.00%,Uncommon (18.97%)
Vapos Aquila,20.00%,Common (37.94%)
Optio,3.00%,Common (37.94%)
Taro Zerca,3.00%,Uncommon (25.81%)
Taro Vambac,3.00%,Uncommon (25.81%)
Taro Numon,3.00%,Uncommon (25.81%)
Tarask Bursa,3.00%,Uncommon (25.29%)
Taro Moa,3.00%,Uncommon (25.29%)
Taro Elite Crewman,3.00%,Very Common (75.88%)
Taro Railgun Moa,3.00%,Common (38.72%)
Taro Crewman,3.00%,Uncommon (25.29%)
Taro Shield Osprey,3.00%,Very Common (75.88%)
Taro Shockwave Moa,3.00%,Uncommon (25.29%)
Taro Detron Crewman,3.00%,Uncommon (25.81%)
Aurax Actinic,3.00%,Uncommon (25.81%)
Aurax Vertec,3.00%,Uncommon (25.81%)
Taro Tech,3.00%,Uncommon (25.29%)
Taro Engineer,3.00%,Uncommon (25.29%)
Orm Zerca,3.00%,Uncommon (25.81%)
Orm Vambac,3.00%,Uncommon (25.81%)
Orm Numon,3.00%,Uncommon (25.81%)
Orm Moa,3.00%,Uncommon (25.29%)
Orm Elite Crewman,3.00%,Very Common (75.88%)
Orm Crewman,3.00%,Uncommon (25.29%)
Orm Shield Osprey,3.00%,Very Common (75.88%)
Orm Detron Crewman,3.00%,Uncommon (25.81%)
Orm Railgun Moa,3.00%,Common (38.72%)
Orm Shockwave Moa,3.00%,Uncommon (25.29%)
Orm Tech,3.00%,Uncommon (25.29%)
Orm Engineer,3.00%,Uncommon (25.29%)
Taro Secura Osprey,3.00%,Uncommon (25.29%)
Axio Zerca,3.00%,Uncommon (25.81%)
Axio Vambac,3.00%,Uncommon (25.81%)
Axio Numon,3.00%,Uncommon (25.81%)
Axio Moa,3.00%,Uncommon (25.29%)
Axio Elite Crewman,3.00%,Very Common (75.88%)
Axio Crewman,3.00%,Uncommon (25.29%)
Axio Shield Osprey,3.00%,Very Common (75.88%)
Axio Detron Crewman,3.00%,Uncommon (25.81%)
Axio Railgun Moa,3.00%,Common (38.72%)
Axio Shockwave Moa,3.00%,Uncommon (25.29%)
Axio Tech,3.00%,Uncommon (25.29%)
Axio Engineer,3.00%,Uncommon (25.29%)
Vorac Zerca,3.00%,Uncommon (25.81%)
Vorac Vambac,3.00%,Uncommon (25.81%)
Vorac Numon,3.00%,Uncommon (25.81%)
Vorac Moa,3.00%,Uncommon (25.29%)
Vorac Elite Crewman,3.00%,Very Common (75.88%)
Vorac Crewman,3.00%,Uncommon (25.29%)
Vorac Shield Osprey,3.00%,Very Common (75.88%)
Vorac Detron Crewman,3.00%,Uncommon (25.81%)
Vorac Railgun Moa,3.00%,Common (38.72%)
