Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
Parry,Rare (7.69%)
Steel Fiber,Rare (7.69%)
Serration,Rare (7.69%)
Incendiary Coat,Rare (7.69%)
Hornet Strike,Rare (7.69%)
Intensify,Rare (7.69%)
Lith N14 Relic,Rare (7.69%)
Lith W3 Relic,Rare (7.69%)
Lith G8 Relic,Rare (7.69%)
Lith T10 Relic,Rare (7.69%)
Lith R4 Relic,Rare (7.69%)
Lith H9 Relic,Rare (7.69%)
Lith C10 Relic,Rare (7.69%)
Rotation C,Rotation C
True Punishment,Uncommon (11.28%)
Quickening,Uncommon (11.28%)
Lith N14 Relic,Uncommon (11.06%)
Lith W3 Relic,Uncommon (11.06%)
Lith G8 Relic,Uncommon (11.06%)
Lith T10 Relic,Uncommon (11.06%)
Lith R4 Relic,Uncommon (11.06%)
Lith H9 Relic,Uncommon (11.06%)
Lith C10 Relic,Uncommon (11.06%)
,
Ceres/Seimeni (Defense),Ceres/Seimeni (Defense)
Rotation A,Rotation A
Vitality,Rare (6.90%)
Fast Deflection,Rare (6.90%)
Rush,Rare (7.37%)
Magazine Warp,Rare (6.90%)
Trick Mag,Rare (6.90%)
Pressure Point,Ultra Rare (1.01%)
Ammo Drum,Rare (7.37%)
Fast Hands,Rare (7.37%)
True Punishment,Ultra Rare (1.01%)
Lith G8 Relic,Rare (6.90%)
Lith W3 Relic,Rare (6.90%)
Lith R4 Relic,Rare (6.90%)
Lith C10 Relic,Rare (6.90%)
Lith T10 Relic,Rare (6.90%)
Lith H9 Relic,Rare (6.90%)
Lith N14 Relic,Rare (6.90%)
Rotation B,Rotation B
Speed Trigger,Rare (8.43%)
Fast Hands,Ultra Rare (1.58%)
Point Strike,Rare (8.43%)
Vital Sense,Rare (8.43%)
Piercing Hit,Ultra Rare (1.58%)
Metal Auger,Ultra Rare (1.58%)
Pistol Gambit,Rare (8.43%)
Target Cracker,Rare (8.43%)
No Return,Rare (8.43%)
Ravage,Rare (8.43%)
Blunderbuss,Rare (8.43%)
Point Blank,Ultra Rare (1.58%)
Serration,Ultra Rare (1.58%)
Hornet Strike,Ultra Rare (1.58%)
Fury,Legendary (0.67%)
Reflex Coil,Ultra Rare (1.58%)
Pressure Point,Rare (8.43%)
True Punishment,Legendary (0.67%)
Quickening,Legendary (0.67%)
Meso M4 Relic,Ultra Rare (1.58%)
Meso G5 Relic,Ultra Rare (1.58%)
Meso B8 Relic,Ultra Rare (1.58%)
Meso P13 Relic,Ultra Rare (1.58%)
Meso P14 Relic,Ultra Rare (1.58%)
Meso C9 Relic,Ultra Rare (1.58%)
Meso W3 Relic,Ultra Rare (1.58%)
Rotation C,Rotation C
Hellfire,Rare (7.59%)
Heated Charge,Rare (7.59%)
Molten Impact,Ultra Rare (1.84%)
Barrel Diffusion,Ultra Rare (1.84%)
Streamline,Ultra Rare (1.84%)
Intensify,Ultra Rare (1.84%)
Thunderbolt,Legendary (0.40%)
80 Endo,Rare (7.59%)
80 Endo,Ultra Rare (1.84%)
True Punishment,Legendary (0.40%)
Quickening,Legendary (0.40%)
Enduring Strike,Legendary (0.40%)
Life Strike,Legendary (0.40%)
Meso M4 Relic,Rare (7.59%)
Meso G5 Relic,Rare (7.59%)
Meso B8 Relic,Rare (7.59%)
Meso P13 Relic,Rare (7.59%)
Meso P14 Relic,Rare (7.59%)
Meso C9 Relic,Rare (7.59%)
Meso W3 Relic,Rare (7.59%)
Neo F2 Relic,Ultra Rare (1.84%)
Neo Z10 Relic,Ultra Rare (1.84%)
Neo S18 Relic,Ultra Rare (1.84%)
Neo K6 Relic,Ultra Rare (1.84%)
Neo K7 Relic,Ultra Rare (1.84%)
Neo D8 Relic,Ultra Rare (1.84%)
Neo N23 Relic,Ultra Rare (1.84%)
,
Event: Eris/Cyath (Spy),Event: Eris/Cyath (Spy)
Rotation A,Rotation A
"2,500 Credits Cache",Uncommon (14.29%)
"2,500 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Steady Hands,Uncommon (14.29%)
Stabilizer,Uncommon (14.29%)
Power Throw,Uncommon (14.29%)
Rotation B,Rotation B
Meso P14 Relic,Uncommon (11.06%)
Meso G5 Relic,Uncommon (11.06%)
Meso M4 Relic,Uncommon (11.06%)
Meso P13 Relic,Uncommon (11.06%)
Meso B8 Relic,Uncommon (11.06%)
Meso W3 Relic,Uncommon (11.06%)
Meso C9 Relic,Uncommon (11.06%)
Neo F2 Relic,Rare (3.22%)
Neo Z10 Relic,Rare (3.22%)
Neo D8 Relic,Rare (3.22%)
Neo S18 Relic,Rare (3.22%)
Neo K6 Relic,Rare (3.22%)
Neo K7 Relic,Rare (3.22%)
Neo N23 Relic,Rare (3.22%)
Rotation C,Rotation C
Auto Breach,Rare (7.04%)
Power Throw,Rare (7.04%)
Stretch,Rare (7.04%)
Hell's Chamber,Rare (7.04%)
Scorch,Rare (7.04%)
Thermite Rounds,Rare (7.04%)
Frostbite,Rare (7.52%)
Frigid Blast,Rare (7.04%)
Arrow Mutation,Rare (7.04%)
Sniper Ammo Mutation,Rare (7.04%)
Shotgun Ammo Mutation,Rare (7.04%)
Covert Lethality,Rare (7.04%)
Ivara Neuroptics Blueprint,Rare (7.52%)
Ivara Blueprint,Rare (7.52%)
,
Event: Eris/Cosis (Capture),Event: Eris/Cosis (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Event: Eris/Candiru (Caches),Event: Eris/Candiru (Caches)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (16.67%)
"3,000 Credits Cache",Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
1000X Nano Spores,Uncommon (16.67%)
Thief's Wit,Uncommon (16.67%)
Rotation B,Rotation B
"5,000 Credits Cache",Uncommon (15.49%)
"5,000 Credits Cache",Uncommon (15.49%)
300 Endo,Uncommon (15.49%)
350X Plastids,Uncommon (15.49%)
3X Mutagen Sample,Uncommon (15.49%)
Contagious Spread,Rare (5.64%)
Pathogen Rounds,Rare (5.64%)
Infected Clip,Rare (5.64%)
Fever Strike,Rare (5.64%)
Rotation C,Rotation C
Neurodes,Uncommon (15.49%)
2X Neurodes,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Rare (4.51%)
Enemy Sense,Uncommon (15.49%)
Mutalist Alad V Nav Coordinate,Rare (4.51%)
High Voltage,Rare (4.51%)
Shell Shock,Rare (4.51%)
Firestorm,Rare (4.51%)
,
Eris/Brugia (Rescue),Eris/Brugia (Rescue)
Rotation A,Rotation A
Phase Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Force Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Cosmic Specter Blueprint,Very Common (100.00%)
,
Event: Eris/Lepis (Caches),Event: Eris/Lepis (Caches)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (16.67%)
"3,000 Credits Cache",Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
1000X Nano Spores,Uncommon (16.67%)
Thief's Wit,Uncommon (16.67%)
Rotation B,Rotation B
"5,000 Credits Cache",Uncommon (15.49%)
"5,000 Credits Cache",Uncommon (15.49%)
300 Endo,Uncommon (15.49%)
350X Plastids,Uncommon (15.49%)
3X Mutagen Sample,Uncommon (15.49%)
Contagious Spread,Rare (5.64%)
Pathogen Rounds,Rare (5.64%)
Infected Clip,Rare (5.64%)
Fever Strike,Rare (5.64%)
Rotation C,Rotation C
Neurodes,Uncommon (15.49%)
2X Neurodes,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Rare (4.51%)
Enemy Sense,Uncommon (15.49%)
Mutalist Alad V Nav Coordinate,Rare (4.51%)
High Voltage,Rare (4.51%)
Shell Shock,Rare (4.51%)
Firestorm,Rare (4.51%)
,
Eris/Kala-Azar (Defense),Eris/Kala-Azar (Defense)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Hornet Strike,Rare (6.67%)
Reflex Coil,Rare (6.67%)
Deep Freeze,Rare (6.67%)
North Wind,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Streamline,Rare (6.67%)
Shocking Touch,Rare (6.67%)
200 Endo,Rare (6.67%)
Axi H6 Relic,Rare (6.67%)
Axi G11 Relic,Rare (6.67%)
Axi G10 Relic,Rare (6.67%)
Axi B6 Relic,Rare (6.67%)
Axi G12 Relic,Rare (6.67%)
Axi L6 Relic,Rare (6.67%)
Axi A17 Relic,Rare (6.67%)
Rotation C,Rotation C
Vital Sense,Rare (2.26%)
Metal Auger,Rare (2.26%)
Ravage,Rare (2.26%)
Stretch,Rare (2.26%)
Handspring,Rare (2.26%)
Convulsion,Rare (2.26%)
Split Chamber,Rare (2.26%)
Continuity,Rare (2.26%)
Master Thief,Rare (2.26%)
400 Endo,Rare (2.26%)
Axi H6 Relic,Uncommon (11.06%)
Axi G11 Relic,Uncommon (11.06%)
Axi G10 Relic,Uncommon (11.06%)
Axi B6 Relic,Uncommon (11.06%)
Axi G12 Relic,Uncommon (11.06%)
Axi L6 Relic,Uncommon (11.06%)
Axi A17 Relic,Uncommon (11.06%)
,
Event: Eris/Hymeno (Survival),Event: Eris/Hymeno (Survival)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
400 Endo,Uncommon (25.00%)
Rotation B,Rotation B
Steel Fiber,Rare (6.67%)
Stretch,Rare (6.67%)
Serration,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Hornet Strike,Rare (6.67%)
Flow,Rare (6.67%)
Split Chamber,Rare (6.67%)
Stabilizer,Rare (6.67%)
Neo F2 Relic,Rare (6.67%)
Neo Z10 Relic,Rare (6.67%)
Neo D8 Relic,Rare (6.67%)
Neo S18 Relic,Rare (6.67%)
Neo K6 Relic,Rare (6.67%)
Neo K7 Relic,Rare (6.67%)
Neo N23 Relic,Rare (6.67%)
Rotation C,Rotation C
Cleanse Infested,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Axi H6 Relic,Uncommon (11.06%)
Axi G11 Relic,Uncommon (11.06%)
Axi G10 Relic,Uncommon (11.06%)
Axi B6 Relic,Uncommon (11.06%)
Axi G12 Relic,Uncommon (11.06%)
Axi L6 Relic,Uncommon (11.06%)
Axi A17 Relic,Uncommon (11.06%)
,
Eris/Isos (Capture),Eris/Isos (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Event: Eris/Gnathos (Spy),Event: Eris/Gnathos (Spy)
Rotation A,Rotation A
"2,500 Credits Cache",Uncommon (14.29%)
"2,500 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Steady Hands,Uncommon (14.29%)
Stabilizer,Uncommon (14.29%)
Power Throw,Uncommon (14.29%)
Rotation B,Rotation B
Meso P14 Relic,Uncommon (11.06%)
Meso G5 Relic,Uncommon (11.06%)
Meso M4 Relic,Uncommon (11.06%)
Meso P13 Relic,Uncommon (11.06%)
Meso B8 Relic,Uncommon (11.06%)
Meso W3 Relic,Uncommon (11.06%)
Meso C9 Relic,Uncommon (11.06%)
Neo F2 Relic,Rare (3.22%)
Neo Z10 Relic,Rare (3.22%)
Neo D8 Relic,Rare (3.22%)
Neo S18 Relic,Rare (3.22%)
Neo K6 Relic,Rare (3.22%)
Neo K7 Relic,Rare (3.22%)
Neo N23 Relic,Rare (3.22%)
Rotation C,Rotation C
Auto Breach,Rare (7.04%)
Power Throw,Rare (7.04%)
Stretch,Rare (7.04%)
Hell's Chamber,Rare (7.04%)
Scorch,Rare (7.04%)
Thermite Rounds,Rare (7.04%)
Frostbite,Rare (7.52%)
Frigid Blast,Rare (7.04%)
Arrow Mutation,Rare (7.04%)
Sniper Ammo Mutation,Rare (7.04%)
Shotgun Ammo Mutation,Rare (7.04%)
Covert Lethality,Rare (7.04%)
Ivara Neuroptics Blueprint,Rare (7.52%)
Ivara Blueprint,Rare (7.52%)
,
Event: Eris/Sporid (Interception),Event: Eris/Sporid (Interception)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Axi H6 Relic,Uncommon (14.29%)
Axi G11 Relic,Uncommon (14.29%)
Axi G10 Relic,Uncommon (14.29%)
Axi B6 Relic,Uncommon (14.29%)
Axi G12 Relic,Uncommon (14.29%)
Axi L6 Relic,Uncommon (14.29%)
Axi A17 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Axi H6 Relic,Uncommon (14.29%)
Axi G11 Relic,Uncommon (14.29%)
Axi G10 Relic,Uncommon (14.29%)
Axi B6 Relic,Uncommon (14.29%)
Axi G12 Relic,Uncommon (14.29%)
Axi L6 Relic,Uncommon (14.29%)
Axi A17 Relic,Uncommon (14.29%)
,
Event: Eris/Ixodes (Defense),Event: Eris/Ixodes (Defense)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Hornet Strike,Rare (6.67%)
Reflex Coil,Rare (6.67%)
Deep Freeze,Rare (6.67%)
North Wind,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Streamline,Rare (6.67%)
Shocking Touch,Rare (6.67%)
200 Endo,Rare (6.67%)
Axi H6 Relic,Rare (6.67%)
Axi G11 Relic,Rare (6.67%)
Axi G10 Relic,Rare (6.67%)
Axi B6 Relic,Rare (6.67%)
Axi G12 Relic,Rare (6.67%)
Axi L6 Relic,Rare (6.67%)
Axi A17 Relic,Rare (6.67%)
Rotation C,Rotation C
Vital Sense,Rare (2.26%)
Metal Auger,Rare (2.26%)
Ravage,Rare (2.26%)
Stretch,Rare (2.26%)
Handspring,Rare (2.26%)
Convulsion,Rare (2.26%)
Split Chamber,Rare (2.26%)
Continuity,Rare (2.26%)
Master Thief,Rare (2.26%)
400 Endo,Rare (2.26%)
Axi H6 Relic,Uncommon (11.06%)
Axi G11 Relic,Uncommon (11.06%)
Axi G10 Relic,Uncommon (11.06%)
Axi B6 Relic,Uncommon (11.06%)
Axi G12 Relic,Uncommon (11.06%)
Axi L6 Relic,Uncommon (11.06%)
Axi A17 Relic,Uncommon (11.06%)
,
Event: Eris/Phalan (Interception),Event: Eris/Phalan (Interception)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Axi H6 Relic,Uncommon (14.29%)
Axi G11 Relic,Uncommon (14.29%)
Axi G10 Relic,Uncommon (14.29%)
Axi B6 Relic,Uncommon (14.29%)
Axi G12 Relic,Uncommon (14.29%)
Axi L6 Relic,Uncommon (14.29%)
Axi A17 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Axi H6 Relic,Uncommon (14.29%)
Axi G11 Relic,Uncommon (14.29%)
Axi G10 Relic,Uncommon (14.29%)
Axi B6 Relic,Uncommon (14.29%)
Axi G12 Relic,Uncommon (14.29%)
Axi L6 Relic,Uncommon (14.29%)
Axi A17 Relic,Uncommon (14.29%)
,
Eris/Oestrus (Infested Salvage),Eris/Oestrus (Infested Salvage)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Hornet Strike,Rare (6.67%)
Reflex Coil,Rare (6.67%)
Deep Freeze,Rare (6.67%)
North Wind,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Streamline,Rare (6.67%)
Shocking Touch,Rare (6.67%)
150 Endo,Rare (6.67%)
Axi H6 Relic,Rare (6.67%)
Axi G11 Relic,Rare (6.67%)
Axi G10 Relic,Rare (6.67%)
Axi B6 Relic,Rare (6.67%)
Axi G12 Relic,Rare (6.67%)
Axi L6 Relic,Rare (6.67%)
Axi A17 Relic,Rare (6.67%)
Rotation C,Rotation C
Nidus Systems Blueprint,Uncommon (14.29%)
Nidus Neuroptics Blueprint,Uncommon (14.29%)
Nidus Chassis Blueprint,Uncommon (14.29%)
Vital Sense,Uncommon (14.29%)
Metal Auger,Uncommon (14.29%)
Stretch,Uncommon (14.29%)
300 Endo,Uncommon (14.29%)
,
Event: Eris/Ranova (Rescue),Event: Eris/Ranova (Rescue)
Rotation A,Rotation A
Phase Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Force Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Cosmic Specter Blueprint,Very Common (100.00%)
,
Event: Eris/Psoro (Caches),Event: Eris/Psoro (Caches)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (16.67%)
"3,000 Credits Cache",Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
1000X Nano Spores,Uncommon (16.67%)
Thief's Wit,Uncommon (16.67%)
Rotation B,Rotation B
"5,000 Credits Cache",Uncommon (15.49%)
"5,000 Credits Cache",Uncommon (15.49%)
300 Endo,Uncommon (15.49%)
350X Plastids,Uncommon (15.49%)
3X Mutagen Sample,Uncommon (15.49%)
Contagious Spread,Rare (5.64%)
Pathogen Rounds,Rare (5.64%)
Infected Clip,Rare (5.64%)
Fever Strike,Rare (5.64%)
Rotation C,Rotation C
Neurodes,Uncommon (15.49%)
2X Neurodes,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Rare (4.51%)
Enemy Sense,Uncommon (15.49%)
Mutalist Alad V Nav Coordinate,Rare (4.51%)
High Voltage,Rare (4.51%)
Shell Shock,Rare (4.51%)
Firestorm,Rare (4.51%)
,
Eris/Nimus (Survival),Eris/Nimus (Survival)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
400 Endo,Uncommon (25.00%)
Rotation B,Rotation B
Steel Fiber,Rare (6.67%)
Stretch,Rare (6.67%)
Serration,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Hornet Strike,Rare (6.67%)
Flow,Rare (6.67%)
Split Chamber,Rare (6.67%)
Stabilizer,Rare (6.67%)
Neo F2 Relic,Rare (6.67%)
Neo Z10 Relic,Rare (6.67%)
Neo D8 Relic,Rare (6.67%)
Neo S18 Relic,Rare (6.67%)
Neo K6 Relic,Rare (6.67%)
Neo K7 Relic,Rare (6.67%)
Neo N23 Relic,Rare (6.67%)
Rotation C,Rotation C
Cleanse Infested,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Axi H6 Relic,Uncommon (11.06%)
Axi G11 Relic,Uncommon (11.06%)
Axi G10 Relic,Uncommon (11.06%)
Axi B6 Relic,Uncommon (11.06%)
Axi G12 Relic,Uncommon (11.06%)
Axi L6 Relic,Uncommon (11.06%)
Axi A17 Relic,Uncommon (11.06%)
,
Eris/Akkad (Defense),Eris/Akkad (Defense)
Rotation A,Rotation A
Vitality,Rare (6.90%)
Fast Deflection,Rare (6.90%)
Rush,Rare (7.37%)
Magazine Warp,Rare (6.90%)
Trick Mag,Rare (6.90%)
Pressure Point,Ultra Rare (1.01%)
Ammo Drum,Rare (7.37%)
Fast Hands,Rare (7.37%)
True Punishment,Ultra Rare (1.01%)
Lith G8 Relic,Rare (6.90%)
Lith W3 Relic,Rare (6.90%)
Lith R4 Relic,Rare (6.90%)
Lith C10 Relic,Rare (6.90%)
Lith T10 Relic,Rare (6.90%)
Lith H9 Relic,Rare (6.90%)
Lith N14 Relic,Rare (6.90%)
Rotation B,Rotation B
Speed Trigger,Rare (8.43%)
Fast Hands,Ultra Rare (1.58%)
Point Strike,Rare (8.43%)
Vital Sense,Rare (8.43%)
Piercing Hit,Ultra Rare (1.58%)
Metal Auger,Ultra Rare (1.58%)
Pistol Gambit,Rare (8.43%)
Target Cracker,Rare (8.43%)
No Return,Rare (8.43%)
Ravage,Rare (8.43%)
Blunderbuss,Rare (8.43%)
Point Blank,Ultra Rare (1.58%)
Serration,Ultra Rare (1.58%)
Hornet Strike,Ultra Rare (1.58%)
Fury,Legendary (0.67%)
Reflex Coil,Ultra Rare (1.58%)
Pressure Point,Rare (8.43%)
True Punishment,Legendary (0.67%)
Quickening,Legendary (0.67%)
Meso M4 Relic,Ultra Rare (1.58%)
Meso G5 Relic,Ultra Rare (1.58%)
Meso B8 Relic,Ultra Rare (1.58%)
Meso P13 Relic,Ultra Rare (1.58%)
Meso P14 Relic,Ultra Rare (1.58%)
Meso C9 Relic,Ultra Rare (1.58%)
Meso W3 Relic,Ultra Rare (1.58%)
Rotation C,Rotation C
Hellfire,Rare (7.59%)
Heated Charge,Rare (7.59%)
Molten Impact,Ultra Rare (1.84%)
Barrel Diffusion,Ultra Rare (1.84%)
Streamline,Ultra Rare (1.84%)
Intensify,Ultra Rare (1.84%)
Thunderbolt,Legendary (0.40%)
80 Endo,Rare (7.59%)
80 Endo,Ultra Rare (1.84%)
True Punishment,Legendary (0.40%)
Quickening,Legendary (0.40%)
Enduring Strike,Legendary (0.40%)
Life Strike,Legendary (0.40%)
Meso M4 Relic,Rare (7.59%)
Meso G5 Relic,Rare (7.59%)
Meso B8 Relic,Rare (7.59%)
Meso P13 Relic,Rare (7.59%)
Meso P14 Relic,Rare (7.59%)
Meso C9 Relic,Rare (7.59%)
Meso W3 Relic,Rare (7.59%)
Neo F2 Relic,Ultra Rare (1.84%)
Neo Z10 Relic,Ultra Rare (1.84%)
Neo S18 Relic,Ultra Rare (1.84%)
Neo K6 Relic,Ultra Rare (1.84%)
Neo K7 Relic,Ultra Rare (1.84%)
Neo D8 Relic,Ultra Rare (1.84%)
Neo N23 Relic,Ultra Rare (1.84%)
,
Event: Eris/Sparga (Rescue),Event: Eris/Sparga (Rescue)
Rotation A,Rotation A
Phase Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Force Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Cosmic Specter Blueprint,Very Common (100.00%)
,
Eris/Xini (Interception),Eris/Xini (Interception)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Axi H6 Relic,Uncommon (14.29%)
Axi G11 Relic,Uncommon (14.29%)
Axi G10 Relic,Uncommon (14.29%)
Axi B6 Relic,Uncommon (14.29%)
Axi G12 Relic,Uncommon (14.29%)
Axi L6 Relic,Uncommon (14.29%)
Axi A17 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Axi H6 Relic,Uncommon (14.29%)
Axi G11 Relic,Uncommon (14.29%)
Axi G10 Relic,Uncommon (14.29%)
Axi B6 Relic,Uncommon (14.29%)
Axi G12 Relic,Uncommon (14.29%)
Axi L6 Relic,Uncommon (14.29%)
Axi A17 Relic,Uncommon (14.29%)
,
Event: Eris/Viver (Caches),Event: Eris/Viver (Caches)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (16.67%)
"3,000 Credits Cache",Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
200 Endo,Uncommon (16.67%)
1000X Nano Spores,Uncommon (16.67%)
Thief's Wit,Uncommon (16.67%)
Rotation B,Rotation B
"5,000 Credits Cache",Uncommon (15.49%)
"5,000 Credits Cache",Uncommon (15.49%)
300 Endo,Uncommon (15.49%)
350X Plastids,Uncommon (15.49%)
3X Mutagen Sample,Uncommon (15.49%)
Contagious Spread,Rare (5.64%)
Pathogen Rounds,Rare (5.64%)
Infected Clip,Rare (5.64%)
Fever Strike,Rare (5.64%)
Rotation C,Rotation C
Neurodes,Uncommon (15.49%)
2X Neurodes,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Uncommon (15.49%)
400 Endo,Rare (4.51%)
Enemy Sense,Uncommon (15.49%)
Mutalist Alad V Nav Coordinate,Rare (4.51%)
High Voltage,Rare (4.51%)
Shell Shock,Rare (4.51%)
Firestorm,Rare (4.51%)
,
Eris/Zabala (Survival),Eris/Zabala (Survival)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
400 Endo,Uncommon (25.00%)
Rotation B,Rotation B
Neo F2 Relic,Uncommon (14.29%)
