Mob,Mod,Chance
,50 Endo,Rare (5.53%)
,80 Endo,Rare (2.01%)
,,
Crawler,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Quickdraw,Common (37.94%)
,Steel Fiber,Common (37.94%)
,Bane Of Corpus,Rare (7.37%)
,Eagle Eye,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Healing Return,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Charger,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Regen,Uncommon (18.97%)
,Rupture,Uncommon (18.97%)
,Calculated Redirection,Uncommon (18.97%)
,15 Endo,Uncommon (18.97%)
,Convulsion,Rare (7.37%)
,Speed Trigger,Rare (7.37%)
,Fracturing Wind,Rare (7.37%)
,80 Endo,Rare (2.01%)
,,
Infested Mesa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Berserker Fury,Uncommon (20.00%)
,Master Thief,Uncommon (20.00%)
,Rage,Uncommon (20.00%)
,Flow,Uncommon (20.00%)
,Decisive Judgement,Uncommon (20.00%)
,,
Tar Mutalist Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Lasting Sting,Uncommon (25.29%)
,Flechette,Uncommon (25.29%)
,Redirection,Uncommon (25.29%)
,Relentless Combination,Uncommon (11.06%)
,Expel Infested,Uncommon (11.06%)
,Adhesive Blast,Ultra Rare (1.01%)
,Cleaving Whirlwind,Ultra Rare (1.01%)
,,
Swarm Mutalist Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Lightning Rod,Uncommon (25.29%)
,Flame Repellent,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,50 Endo,Uncommon (22.11%)
,Seeker,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Toxic Crawler,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Uncommon (18.97%)
,Trick Mag,Uncommon (18.97%)
,Blunderbuss,Uncommon (18.97%)
,15 Endo,Uncommon (18.97%)
,Heavy Impact,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,80 Endo,Rare (2.01%)
,,
Attack Mutalist,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Parallax Scope,Uncommon (25.29%)
,Argon Plating,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cutting Edge,Rare (7.37%)
,Combustion Rounds,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Morphic Transformer,Rare (2.01%)
,,
Mutalist Lightning Carrier,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Parallax Scope,Uncommon (25.29%)
,Argon Plating,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cutting Edge,Rare (7.37%)
,Combustion Rounds,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Morphic Transformer,Rare (2.01%)
,,
Mutalist Toxic Carrier,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Parallax Scope,Uncommon (25.29%)
,Argon Plating,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cutting Edge,Rare (7.37%)
,Combustion Rounds,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Morphic Transformer,Rare (2.01%)
,,
Volatile Runner,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Ghost,Uncommon (25.29%)
,Reach,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Concussion Rounds,Uncommon (11.06%)
,Point Blank,Uncommon (11.06%)
,Sundering Strike,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Toxic Ancient,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Organ Shatter,Uncommon (15.18%)
,Slip Magazine,Uncommon (15.18%)
,Shredder,Uncommon (15.18%)
,Warm Coat,Uncommon (15.18%)
,15 Endo,Uncommon (15.18%)
,Hornet Strike,Rare (7.37%)
,Accelerated Deflection,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Firestorm,Ultra Rare (1.01%)
,Brutal Tide,Ultra Rare (1.01%)
,,
Darek Draga,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Quickdraw,Uncommon (25.29%)
,Redirection,Uncommon (25.29%)
,Razor Shot,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Thunderbolt,Legendary (0.67%)
,Undying Will,Legendary (0.67%)
,Crossing Snakes,Legendary (0.67%)
,,
J3 Jordas Golem,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Pressure Point,Common (37.94%)
,Magazine Warp,Common (37.94%)
,Bane Of Infested,Uncommon (11.06%)
,Incendiary Coat,Uncommon (11.06%)
,Streamline,Rare (2.01%)
,,
Juggernaut Behemoth,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Regen,Uncommon (18.97%)
,Rupture,Uncommon (18.97%)
,Calculated Redirection,Uncommon (18.97%)
,15 Endo,Uncommon (18.97%)
,Convulsion,Rare (7.37%)
,Speed Trigger,Rare (7.37%)
,Fracturing Wind,Rare (7.37%)
,80 Endo,Rare (2.01%)
,,
Juggernaut,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Regen,Uncommon (18.97%)
,Rupture,Uncommon (18.97%)
,Calculated Redirection,Uncommon (18.97%)
,15 Endo,Uncommon (18.97%)
,Convulsion,Rare (7.37%)
,Speed Trigger,Rare (7.37%)
,Fracturing Wind,Rare (7.37%)
,80 Endo,Rare (2.01%)
,,
Jack O'Naut,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Regen,Uncommon (18.97%)
,Rupture,Uncommon (18.97%)
,Calculated Redirection,Uncommon (18.97%)
,15 Endo,Uncommon (18.97%)
,Convulsion,Rare (7.37%)
,Speed Trigger,Rare (7.37%)
,Fracturing Wind,Rare (7.37%)
,80 Endo,Rare (2.01%)
,,
Jordas Golem,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Pressure Point,Common (37.94%)
,Magazine Warp,Common (37.94%)
,Bane Of Infested,Uncommon (11.06%)
,Incendiary Coat,Uncommon (11.06%)
,Streamline,Rare (2.01%)
,,
Kela De Thaym,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Medi-Ray,Uncommon (11.11%)
,Electromagnetic Shielding,Uncommon (11.11%)
,Vulcan Blitz,Uncommon (11.11%)
,Hunter's Bonesaw,Uncommon (11.11%)
,Rift Strike,Uncommon (11.11%)
,Nightwatch Napalm,Uncommon (11.11%)
,Harkonar Scope,Uncommon (11.11%)
,Fomorian Accelerant,Uncommon (11.11%)
,Acid Shells,Uncommon (11.11%)
,,
Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,North Wind,Uncommon (11.06%)
,Smite Grineer,Uncommon (11.06%)
,Energy Channel,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Anti Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Enhanced Vitality,Common (38.72%)
,Thief's Wit,Common (38.72%)
,Pathogen Rounds,Rare (7.52%)
,Shotgun Savvy,Rare (7.52%)
,Swirling Tiger,Rare (7.52%)
,,
Leech Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Crowd Dispersion,Uncommon (25.29%)
,Magazine Warp,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Stretch,Uncommon (11.06%)
,Diamond Skin,Uncommon (11.06%)
,Split Chamber,Legendary (0.67%)
,Gleaming Talon,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Lt Lech Kril,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Molten Impact,Uncommon (22.92%)
,Killing Blow,Uncommon (22.92%)
,Cryo Rounds,Uncommon (22.92%)
,Stretch,Uncommon (22.92%)
,Out Of Sight,Rare (8.33%)
,,
Scorpion,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Lightning Rod,Common (37.94%)
,15 Endo,Common (37.94%)
,Serration,Rare (7.37%)
,Heavy Impact,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Master Thief,Ultra Rare (1.01%)
,Defiled Snapdragon,Ultra Rare (1.01%)
,,
Grineer Manic,Mod Drop Chance: 50.00%,Mod Drop Chance: 50.00%
,Pressure Point,Uncommon (18.97%)
,Point Strike,Uncommon (18.97%)
,Fast Hands,Uncommon (18.97%)
,15 Endo,Uncommon (18.97%)
,North Wind,Rare (7.37%)
,Reflex Coil,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Flow,Legendary (0.67%)
,Four Riders,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Grineer Manic,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Sawtooth Clip,Very Common (75.88%)
,Killing Blow,Rare (7.37%)
,Accelerated Deflection,Rare (7.37%)
,Shimmering Blight,Rare (7.37%)
,Barrel Diffusion,Legendary (0.67%)
,Crushing Ruin,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Prod Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pistol Gambit,Common (37.94%)
,Metal Fiber,Common (37.94%)
,Chilling Grasp,Uncommon (11.06%)
,Shotgun Savvy,Uncommon (11.06%)
,Guardian Derision,Legendary (0.50%)
,Vital Sense,Legendary (0.50%)
,Rapid Resilience,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Mine Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Common (37.94%)
,15 Endo,Common (37.94%)
,Sinister Reach,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Concealed Explosives,Legendary (0.67%)
,Metal Auger,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Nul Comba,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Nul Comba,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Pistol Gambit,Common (37.94%)
,Metal Fiber,Common (37.94%)
,Fury,Rare (4.42%)
,No Return,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Chilling Grasp,Rare (4.42%)
,Shotgun Savvy,Rare (4.42%)
,Guardian Derision,Legendary (0.50%)
,Jagged Edge,Legendary (0.50%)
,Vital Sense,Legendary (0.50%)
,Rapid Resilience,Legendary (0.50%)
,,
Nul Scrambus,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Sap Comba,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Sap Comba,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Pistol Gambit,Common (37.94%)
,Metal Fiber,Common (37.94%)
,Fury,Rare (4.42%)
,No Return,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Chilling Grasp,Rare (4.42%)
,Shotgun Savvy,Rare (4.42%)
,Guardian Derision,Legendary (0.50%)
,Jagged Edge,Legendary (0.50%)
,Vital Sense,Legendary (0.50%)
,Rapid Resilience,Legendary (0.50%)
,,
Sap Scrambus,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Slo Comba,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Slo Comba,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Pistol Gambit,Common (37.94%)
,Metal Fiber,Common (37.94%)
,Fury,Rare (4.42%)
,No Return,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Chilling Grasp,Rare (4.42%)
,Shotgun Savvy,Rare (4.42%)
,Guardian Derision,Legendary (0.50%)
,Jagged Edge,Legendary (0.50%)
,Vital Sense,Legendary (0.50%)
,Rapid Resilience,Legendary (0.50%)
,,
Slo Scrambus,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Fog Comba,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Fog Comba,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Pistol Gambit,Common (37.94%)
,Metal Fiber,Common (37.94%)
,Fury,Rare (4.42%)
,No Return,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Chilling Grasp,Rare (4.42%)
,Shotgun Savvy,Rare (4.42%)
,Guardian Derision,Legendary (0.50%)
,Jagged Edge,Legendary (0.50%)
,Vital Sense,Legendary (0.50%)
,Rapid Resilience,Legendary (0.50%)
,,
Fog Scrambus,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Nullifier Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Assault Mode,Very Common (75.88%)
,Incendiary Coat,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Combustion Beam,Legendary (0.50%)
,Ravage,Legendary (0.50%)
,Stalking Fan,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Corrupted Butcher,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Ammo Case,Common (37.94%)
,Thumper,Common (37.94%)
,Dispatch Overdrive,Rare (5.53%)
,Finishing Touch,Rare (5.53%)
,Infected Clip,Rare (5.53%)
,Burning Wasp,Rare (5.53%)
,Power Throw,Rare (2.01%)
,,
Corrupted Bombard,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Intruder,Very Common (75.88%)
,Spare Parts,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Whirlwind,Legendary (0.67%)
,Flailing Branch,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Orokin Drone,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Guardian,Uncommon (25.29%)
,Hush,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,50 Endo,Uncommon (22.11%)
,Coolant Leak,Legendary (0.67%)
,Fired Up,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Orokin Storage Container,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Argon Plating,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Enhanced Durability,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,System Reroute,Rare (2.01%)
,,
Orokin Storage Container,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Argon Plating,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Enhanced Durability,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,System Reroute,Rare (2.01%)
,,
Corrupted Nullifier,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Intruder,Very Common (75.88%)
,Spare Parts,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Whirlwind,Legendary (0.67%)
,Flailing Branch,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Phorid,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Blood For Ammo,Very Common (77.44%)
,Molten Impact,Rare (5.64%)
,Killing Blow,Rare (5.64%)
,Cryo Rounds,Rare (5.64%)
,Stretch,Rare (5.64%)
,,
Denial Bursa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Shocking Touch,Uncommon (11.06%)
,Smite Grineer,Uncommon (11.06%)
,Astral Twilight,Rare (2.01%)
,,
Courier,Mod Drop Chance: 30.00%,Mod Drop Chance: 30.00%
,Argon Plating,Common (37.94%)
,15 Endo,Common (37.94%)
,50 Endo,Uncommon (22.11%)
,Dual Rounds,Rare (2.01%)
,,
Turret,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Bleeding Edge,Uncommon (25.81%)
,Energy Inversion,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Modified Munitions,Uncommon (11.28%)
,50 Endo,Uncommon (11.28%)
,,
Hyena Pack,Mod Drop Chance: 60.00%,Mod Drop Chance: 60.00%
,True Steel,Common (38.72%)
,Trick Mag,Common (38.72%)
,Hit And Run,Uncommon (11.28%)
,North Wind,Uncommon (11.28%)
,,
Jackal,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Blunderbuss,Very Common (75.88%)
,Ruinous Extension,Rare (7.37%)
,Shell Compression,Rare (7.37%)
,Tactical Pump,Rare (7.37%)
,Shock Absorbers,Ultra Rare (1.01%)
,Handspring,Ultra Rare (1.01%)
,,
Jackal,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Shocking Touch,Rare (3.69%)
,Molten Impact,Rare (3.69%)
,North Wind,Rare (3.69%)
,Reflex Coil,Rare (3.69%)
,Fever Strike,Rare (3.69%)
,Stretch,Rare (3.69%)
,Life Strike,Ultra Rare (1.01%)
,Split Chamber,Ultra Rare (1.01%)
,,
Railgun Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Trick Mag,Common (38.72%)
,15 Endo,Common (38.72%)
,Charged Chamber,Uncommon (11.28%)
,50 Endo,Uncommon (11.28%)
,,
Raptor,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Reflex Coil,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Split Chamber,Rare (2.01%)
,,
Raptor,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Reflex Coil,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Split Chamber,Rare (2.01%)
,,
Raptor Mt,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Reflex Coil,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Split Chamber,Rare (2.01%)
,,
Raptor Rv,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Reflex Coil,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Split Chamber,Rare (2.01%)
,,
Raptor Ns,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Reflex Coil,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Split Chamber,Rare (2.01%)
,,
Rare Corpus Storage Container,Mod Drop Chance: 7.50%,Mod Drop Chance: 7.50%
,Argon Plating,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Enhanced Durability,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,System Reroute,Rare (2.01%)
,,
Rare Corpus Storage Container,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,80 Endo,Very Common (100.00%)
,,
Forgotten Grineer Storage Container,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,80 Endo,Very Common (100.00%)
,,
Rare Grineer Storage Container,Mod Drop Chance: 7.50%,Mod Drop Chance: 7.50%
,Argon Plating,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Enhanced Durability,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,System Reroute,Rare (2.01%)
,,
Rare Grineer Storage Container,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,80 Endo,Very Common (100.00%)
,,
Rare Orokin Storage Container,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Argon Plating,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Enhanced Durability,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,System Reroute,Rare (2.01%)
,,
Rare Orokin Storage Container,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,50 Endo,Common (45.83%)
,50 Endo,Common (45.83%)
,80 Endo,Rare (8.33%)
,,
Rare Orokin Storage Container,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,80 Endo,Very Common (100.00%)
,,
Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Reach,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Uncommon (11.06%)
,No Return,Uncommon (11.06%)
,Reaping Spiral,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Mania (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Mania (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Mania (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Mania (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Mania (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Mania (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Kuva Jester,Mod Drop Chance: 2.50%,Mod Drop Chance: 2.50%
,Lightning Dash,Uncommon (20.00%)
,Firewalker,Uncommon (20.00%)
,Ice Spring,Uncommon (20.00%)
,Toxic Flight,Uncommon (20.00%)
,Astral Twilight,Uncommon (20.00%)
,,
General Sargas Ruk,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Pressure Point,Common (37.94%)
,Melee Prowess,Common (37.94%)
,Shotgun Savvy,Uncommon (11.06%)
,Shattering Storm,Uncommon (11.06%)
,Split Chamber,Ultra Rare (1.01%)
,Continuity,Ultra Rare (1.01%)
,,
Scavenger Drone,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,True Steel,Common (38.72%)
,Redirection,Common (38.72%)
,Gunslinger,Uncommon (11.28%)
,Contagious Spread,Uncommon (11.28%)
,,
Drekar Butcher,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Shattering Impact,Uncommon (18.97%)
,Pressure Point,Uncommon (18.97%)
,Point Strike,Uncommon (18.97%)
,Fast Hands,Uncommon (18.97%)
,Reflex Coil,Uncommon (11.06%)
,Smite Grineer,Uncommon (11.06%)
,Condition Overload,Legendary (0.67%)
,Ice Spring,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Drekar Elite Lancer,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Common (37.94%)
,Vitality,Common (37.94%)
,Heated Charge,Rare (7.37%)
,Diamond Skin,Rare (7.37%)
,Mobilize,Rare (7.37%)
,Heavy Trauma,Legendary (0.67%)
,Streamline,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Drekar Eviscerator,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (18.97%)
,Pistol Gambit,Uncommon (18.97%)
,Disruptor,Uncommon (18.97%)
,Lingering Torment,Uncommon (18.97%)
,Shocking Touch,Uncommon (11.06%)
,Rending Turn,Uncommon (11.06%)
,80 Endo,Rare (2.01%)
,,
Drekar Heavy Gunner,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Common (38.72%)
,Melee Prowess,Common (38.72%)
,Shotgun Savvy,Uncommon (11.28%)
,Piercing Step,Uncommon (11.28%)
,,
Drekar Scorpion,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Common (37.94%)
,Vitality,Common (37.94%)
,Heated Charge,Uncommon (11.06%)
,Diamond Skin,Uncommon (11.06%)
,Heavy Trauma,Legendary (0.50%)
,Streamline,Legendary (0.50%)
,Iron Phoenix,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Drekar Ballista,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Organ Shatter,Common (37.94%)
,15 Endo,Common (37.94%)
,50 Endo,Uncommon (22.11%)
,Toxic Flight,Rare (2.01%)
,,
Drekar Seeker,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Sawtooth Clip,Very Common (75.88%)
,Killing Blow,Rare (7.37%)
,Accelerated Deflection,Rare (7.37%)
,Battering Maneuver,Rare (7.37%)
,Barrel Diffusion,Legendary (0.67%)
,Crushing Ruin,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Drekar Hellion,Mod Drop Chance: 30.00%,Mod Drop Chance: 30.00%
,Organ Shatter,Uncommon (25.29%)
,Continuous Misery,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Terminal Velocity,Uncommon (22.11%)
,Firewalker,Rare (2.01%)
,,
